id	annotations	speaker	time	turn-index	utterance
tktk509		U		10	hey, are you fooling around or taking note of my booking?
tktk510	T, T, O, X, X, T, X, O, T, O, X, X, X, X, T, X, X, X, X, X, X, X, X, O, X, T, X, X, O, X, 	S		11	what is fooling?
tktk511		U		12	excuse me... is this the tagliately limoncelly bambinoty trattoria?
tktk512	T, T, O, X, X, T, X, O, T, O, T, X, X, X, O, X, T, X, X, X, O, T, X, O, X, T, X, X, O, T, 	S		13	what is tagliately?
tktk513		U		14	italian pasta
tktk514	X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, T, X, X, X, X, T, X, 	S		15	thats interesting.  people usually spend much more time watching sports than actually playing any.
tktk515		U		16	ok, i think i am talking to the wrong person, can you call the manager?
tktk516	X, X, X, X, X, X, T, X, X, X, T, X, X, X, X, X, X, X, X, X, X, X, X, O, X, X, X, X, T, X, 	S		17	do you want to see a game together some time?
tktk517		U		18	no, thanks, not interested
tktk518	T, T, X, X, X, T, T, T, O, X, T, X, X, X, X, T, X, X, X, T, X, X, X, O, O, O, X, T, O, X, 	S		19	i dont know. let me know something youre interested in.
tktk519		U		0	hello
tktk520	O, O, X, X, X, X, X, O, X, X, T, X, X, X, O, O, X, O, X, O, X, X, O, X, X, X, O, O, O, O, 	S		1	the average guy isnt earning stratospheric sums of money being a huge headline act in vegas. what do you think?
tktk521		U		2	im not up to date on thate topic seems interesting
tktk522	O, T, T, X, T, O, X, X, T, X, T, X, X, X, T, X, X, X, X, O, T, T, X, T, X, O, X, O, O, T, 	S		3	we never really grow up, we only learn how to act in public.
tktk523		U		4	do you answer any questions i pose
tktk524	X, O, X, T, O, O, T, T, O, T, O, O, O, X, O, O, X, O, O, O, O, T, O, X, O, X, O, T, O, T, 	S		5	i certainly try. whats your idea?
tktk525		U		6	the flow of this conversation seems clunky
tktk526	X, X, X, O, O, X, X, O, T, X, T, O, X, T, O, X, X, O, X, O, X, X, T, X, T, X, T, T, T, O, 	S		7	i dont know. can you tell me something about movies
tktk527		U		8	no i cannot
tktk528	O, X, O, O, O, O, X, O, X, T, X, X, X, X, O, O, T, O, O, O, O, T, T, X, X, X, X, T, O, O, 	S		9	with this movie. whats your idea?
tktk529		U		10	what movie
tktk530	X, T, O, T, O, O, T, T, X, T, T, O, O, X, T, X, T, T, T, X, T, T, T, X, O, O, T, O, T, O, 	S		11	this is from the green berets.
tktk531		U		12	ive never heard of it
tktk532	X, X, X, O, T, X, X, O, T, X, T, X, X, X, O, O, X, O, T, O, X, X, T, X, X, O, X, O, O, O, 	S		13	yes. whats your idea?
tktk533		U		14	i thought you said green breasts. would that be a she-hulk porn parody
tktk534	X, O, X, O, O, O, X, X, X, T, T, O, O, T, X, X, T, T, X, X, X, X, X, X, T, O, T, O, T, T, 	S		15	yes, unfortunately, yes.
tktk535		U		16	unfortunately?
tktk536	O, O, T, O, X, X, X, T, T, T, T, X, X, X, O, X, X, T, X, O, X, X, T, X, X, O, T, O, O, T, 	S		17	let us do something fun together
tktk537		U		18	are you a man behind a computer suit?
tktk538	O, T, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 	S		19	tv guide gave out an award several years ago to the 50 worst shows in the history of television.
tktk539		U		0	hello
tktk540	O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, T, O, O, O, O, O, O, O, O, O, O, O, T, 	S		1	hello, i really like music. how about we talk about music
tktk541		U		2	do you like ozzy osbourne?
tktk542	O, T, T, O, T, X, O, X, T, X, T, O, X, T, T, X, O, T, O, O, T, T, X, X, O, T, T, T, X, O, 	S		3	i like the idea of them.
tktk543		U		4	theres more than an idea... you dont like is music?
tktk544	O, T, T, O, T, T, X, X, T, T, O, X, X, T, T, X, O, X, X, T, T, T, X, T, T, T, O, O, X, T, 	S		5	thats interesting. what do you think about music
tktk545		U		6	i like music... what about black sabbath?
tktk546	O, O, O, O, T, O, X, O, O, O, T, O, O, X, T, T, O, O, O, T, T, O, T, T, T, T, T, T, T, O, 	S		7	i like pop music.
tktk547		U		8	like justin bieber?
tktk548	O, O, O, O, O, O, X, O, O, O, T, T, O, O, O, O, O, O, O, O, O, O, X, T, O, O, O, O, O, O, 	S		9	great singer.
tktk549		U		10	not really. he kinda sucks
tktk550	O, T, T, O, O, T, X, X, T, O, X, X, T, X, X, X, O, X, O, T, T, X, X, X, T, O, O, O, X, X, 	S		11	truly.
tktk551		U		12	but you just said hes a great singer.
tktk552	O, X, T, O, T, T, X, T, T, O, O, X, T, X, X, X, T, T, O, X, X, T, X, T, O, T, O, O, O, T, 	S		13	well, you know, im not sure. can you tell me something about sports
tktk553		U		14	nope, i dont follow sports at all.
tktk554	O, O, O, O, O, O, X, O, T, O, O, T, O, O, O, O, O, O, O, X, O, O, X, O, O, O, O, O, O, T, 	S		15	why not?
tktk555		U		16	i just dont like them... ever really have.
tktk556	O, O, O, T, O, O, X, O, T, O, O, X, O, O, O, T, O, O, O, X, O, X, X, O, O, T, T, X, O, T, 	S		17	why not?
tktk557		U		18	... because i dont.
tktk558	O, X, X, X, T, X, X, T, X, T, X, X, O, X, T, X, T, X, X, X, T, X, X, X, X, T, T, T, X, T, 	S		19	why not ? we can do most tasks better than humans.
tktk559		U		0	hello
tktk560	O, O, O, X, X, O, T, O, O, X, O, O, O, T, T, T, T, T, T, T, T, O, O, O, O, O, O, O, O, O, 	S		1	hello, i really like movies. how about we talk about movies
tktk561		U		2	i like movies too
tktk562	O, O, O, X, T, O, X, X, T, X, O, T, O, T, T, T, T, T, T, T, T, O, T, O, O, O, O, O, T, T, 	S		3	why do you like those?
tktk563		U		4	because i like them.
tktk564	O, O, O, X, X, T, X, X, T, X, T, O, O, T, T, T, T, T, T, T, T, O, T, O, O, O, T, O, T, O, 	S		5	ok. what do you think about music
tktk565		U		6	i love music. im trying to learn jazz piano
tktk566	X, O, O, X, X, O, X, X, X, X, O, O, O, T, T, T, T, T, T, T, T, O, T, O, O, O, O, O, O, O, 	S		7	what type of musics do you like
tktk567		U		8	jazz and classical and vintage pop music
tktk568	X, O, O, X, T, O, T, X, X, X, O, O, X, T, T, T, T, T, T, T, T, T, T, O, O, O, O, O, O, X, 	S		9	what is vintage?
tktk569		U		10	vintage means old
tktk570	X, T, O, T, X, O, T, X, X, X, T, X, X, T, T, T, T, T, T, T, T, T, X, X, T, T, O, T, T, X, 	S		11	what is vintage?
tktk571		U		12	vintage means antique
tktk572	X, T, O, X, X, O, X, X, X, X, T, X, X, T, T, T, T, T, T, T, T, T, X, X, T, X, O, T, T, X, 	S		13	what is vintage?
tktk573		U		14	lets change the subject
tktk574	X, O, O, T, X, X, X, X, X, X, T, T, X, T, T, T, T, T, T, T, T, O, T, O, O, O, O, T, O, X, 	S		15	monopoly is fun
tktk575		U		16	it is. so is candyland
tktk576	X, O, O, X, T, O, X, X, X, X, O, O, X, T, T, T, T, T, T, T, T, O, T, O, O, O, O, O, O, O, 	S		17	what is candyland?
tktk577		U		18	candyland is another board game
tktk578	X, X, T, X, X, X, T, X, X, X, X, X, X, T, T, T, T, T, T, T, T, X, X, X, X, T, O, X, T, X, 	S		19	lary king is a talk show host
tktk579		U		0	i am feeling so tired today.
tktk580	X, T, T, O, X, T, O, O, O, X, O, X, X, X, O, T, T, T, O, O, O, T, T, T, X, O, O, O, X, T, 	S		1	it was definitely very sad. can you share some interesting stuff with me?
tktk581		U		2	i need to exercise more to get in shape for my may 1st wedding.
tktk582	X, X, O, O, X, X, T, O, T, X, O, X, T, X, T, O, T, T, O, T, O, T, X, X, X, X, O, X, X, X, 	S		3	i dont know. what do you think about your job
tktk583		U		4	my job is pretty good but i need full-time work, not just part-time.
tktk584	X, T, X, O, X, X, X, T, X, T, O, X, X, X, T, O, X, T, X, X, O, T, X, X, X, X, O, T, O, X, 	S		5	i never make the same mistake twice. i make it five and six times, just to be sure.
tktk585		U		6	you make no sense but you are pretty damn funny.
tktk586	T, X, T, O, T, X, O, O, O, X, O, X, X, T, X, T, O, X, O, O, O, T, X, X, X, X, O, T, O, X, 	S		7	as is evidenced by this interview no. whats your idea?
tktk587		U		8	i need to exercise every day in some way, so i can lose these last 10 pounds!
tktk588	X, X, X, O, X, X, T, O, X, X, O, X, X, X, O, O, O, T, O, T, O, T, X, X, X, X, O, T, X, X, 	S		9	do you like to play some board games together next time
tktk589		U		10	your conversation habits are really weird but yeah, sure. how about settlers of cataan?
tktk590	T, X, T, O, X, X, T, O, O, X, O, X, X, X, O, O, T, X, X, O, T, X, O, X, X, X, O, T, X, O, 	S		11	on and off. let me know something youre interested in.
tktk591		U		12	losing weight!
tktk592	O, X, X, O, X, X, O, O, T, T, O, X, X, T, O, T, O, T, O, O, O, O, O, T, X, T, O, O, O, X, 	S		13	sixteen pounds. what do you think?
tktk593		U		14	tjat
tktk594	X, T, O, T, X, X, T, O, T, X, T, X, X, X, O, T, X, X, X, T, O, T, O, X, X, X, O, T, T, X, 	S		15	the voices in my head may not be real, but they have some good ideas!
tktk595		U		16	thats way too much to lose. sixteen pounds? are you crazy?!
tktk596	O, T, O, O, T, X, O, X, O, X, O, X, X, X, O, T, O, X, O, T, T, O, T, T, X, T, O, O, O, T, 	S		17	well, its because everyone always said that i looked bad and i started to believe so i didnt like the way i looked.
tktk597		U		18	i think i look fine, i just want to look better.
tktk598	X, T, X, O, X, T, T, O, O, X, O, X, X, X, T, O, T, T, T, O, O, T, T, T, X, X, O, O, X, X, 	S		19	thats interesting. what do you think about pittsburgh
tktk599		U		0	hello? what are you?
tktk600	O, X, X, O, X, X, X, X, O, T, X, X, T, X, O, O, O, X, O, X, X, O, X, T, X, X, T, O, X, O, 	S		1	oh, 100 percent. whats your idea?
tktk601		U		2	do you understand what i am saying?
tktk602	O, O, X, O, T, O, O, O, O, O, O, O, T, O, T, O, T, O, O, T, T, O, X, T, X, O, X, O, T, X, 	S		3	i understand exactly what youre saying.
tktk603		U		4	are you sure about that?
tktk604	T, X, X, T, O, O, X, T, O, T, T, O, T, X, T, O, O, X, O, T, T, O, X, X, X, T, X, O, O, O, 	S		5	uh-huh, i do. what do you think?
tktk605		U		6	i think youre full of lies.
tktk606	X, X, X, O, T, O, T, T, T, T, T, T, O, X, T, T, O, T, O, T, T, O, X, X, X, O, X, O, O, O, 	S		7	you know what, i was thinking about that, actually. what do you think?
tktk607		U		8	i believe that to be true.
tktk608	X, X, X, O, O, O, O, T, O, T, O, T, O, O, T, T, O, T, O, O, T, O, X, O, X, O, X, O, T, O, 	S		9	thats interesting. can you tell me something about your life
tktk609		U		10	only if you do so first.
tktk610	X, X, O, O, X, X, T, X, O, T, T, O, T, X, T, O, T, X, O, T, T, T, X, O, X, O, X, O, O, X, 	S		11	i certainly try.
tktk611		U		12	then go for it.
tktk612	X, X, O, X, X, X, X, X, O, T, X, X, T, X, T, T, T, X, O, X, X, O, X, O, X, X, T, O, X, O, 	S		13	shes very grounding.
tktk613		U		14	i am the winner here.
tktk614	X, X, O, X, O, T, X, T, O, X, O, T, X, X, X, T, T, X, O, T, X, T, X, T, X, T, X, O, X, X, 	S		15	im not taking the bait. but anyway, id like to chat with you.
tktk615		U		16	no you dont.
tktk616	X, X, T, X, T, O, T, T, O, X, O, X, T, X, X, T, O, X, O, T, X, T, X, T, X, T, X, O, O, O, 	S		17	im going to now. what do you think?
tktk617		U		18	not what i was looking for.
tktk618	X, X, X, X, X, X, X, X, X, T, T, X, X, X, X, T, X, X, O, X, X, T, X, T, X, X, X, O, X, X, 	S		19	a little boy asked his father, daddy, how much does it cost to get married? father replied, i dont know son, im still paying.
tktk619		U		0	hello to you
tktk620	T, O, T, X, O, X, T, T, X, T, X, O, X, X, O, X, T, T, O, X, X, T, T, X, T, T, T, T, T, T, 	S		1	of course.
tktk621		U		2	who do you think will win the south carolina primary?
tktk622	X, O, X, T, O, X, T, X, X, X, X, X, X, X, O, O, X, T, O, X, X, X, X, T, T, T, T, T, T, T, 	S		3	im going to now. any thoughts?
tktk623		U		4	no. dont go.
tktk624	X, O, T, T, O, X, T, X, O, T, X, X, X, X, O, T, X, T, X, T, T, O, X, T, T, T, T, T, T, T, 	S		5	do you want to go to my firends party tonight
tktk625		U		6	why not, sure? lots of bots going to be there?
tktk626	X, O, X, T, T, X, T, T, X, O, X, T, T, T, T, O, X, T, X, T, T, O, X, T, T, T, T, T, T, T, 	S		7	thats interesting. what do you think about sports
tktk627		U		8	i like sports.
tktk628	T, O, X, X, X, X, O, T, X, T, T, T, T, X, T, O, X, T, X, X, T, T, X, T, T, T, T, T, T, T, 	S		9	why not? what do you think?
tktk629		U		10	i think sports is fun to talk about
tktk630	X, X, X, X, X, T, T, O, O, X, T, X, X, T, O, X, T, X, X, T, O, X, T, T, T, T, T, T, T, T, 	S		11	let us do something fun together
tktk631		U		12	sure. what do you have in mind?
tktk632	X, T, X, X, X, T, X, X, X, T, T, T, T, T, X, X, T, X, X, X, X, X, T, T, T, T, T, T, T, T, 	S		13	manifestly not.
tktk633		U		14	what do you mean by manifest?
tktk634	X, X, X, X, X, T, T, X, X, T, O, T, T, T, T, X, T, X, X, X, T, X, T, T, T, T, T, T, T, T, 	S		15	im going to now. any thoughts?
tktk635		U		16	nothing really. dont go so quickly.
tktk636	X, X, X, X, X, T, T, X, O, X, O, X, T, T, X, X, T, X, X, X, T, X, X, T, T, T, T, T, T, T, 	S		17	the voices in my head may not be real, but they have some good ideas!
tktk637		U		18	is that so? what do they say to you?
tktk638	X, T, X, X, X, O, O, X, O, O, T, O, O, T, X, X, T, X, X, X, X, X, T, T, T, T, T, T, T, T, 	S		19	badly.
tktk639		U		0	hello how are you doing today?
tktk640	O, X, T, X, O, O, O, O, O, O, O, O, O, X, O, O, O, X, O, O, T, X, O, X, O, T, T, O, O, O, 	S		1	do you want to see captain america: civil war together?
tktk641		U		2	yes! i would love to see it with you.
tktk642	X, X, T, T, O, X, O, O, T, T, T, X, T, T, X, O, T, T, T, T, O, T, T, O, X, O, T, T, O, O, 	S		3	uhh, i cant answer this. but anyway, id like to chat with you.
tktk643		U		4	what shall we talk about
tktk644	O, X, T, T, O, O, O, O, O, T, O, T, X, T, T, O, T, X, X, O, O, T, O, X, O, T, T, O, O, T, 	S		5	lets talk more about that?
tktk645		U		6	about what?
tktk646	O, X, O, X, O, O, O, O, T, O, O, O, T, T, T, O, T, T, T, O, O, O, O, X, O, T, O, O, O, O, 	S		7	well, you know, im not sure. can you share some interesting stuff with me?
tktk647		U		8	i work for disneyland
tktk648	O, X, O, X, O, O, O, O, O, O, O, O, O, O, O, O, O, X, T, O, O, O, O, X, O, O, O, O, O, T, 	S		9	what is disneyland?
tktk649		U		10	its a large theme park in california
tktk650	X, X, T, X, T, X, O, T, O, T, O, X, T, O, X, T, T, O, T, T, T, T, T, X, T, O, T, T, O, T, 	S		11	well, you know, im not sure. thats interesting.
tktk651		U		12	ive worked there for two years
tktk652	X, X, T, X, T, T, O, T, T, X, T, X, T, X, X, O, T, T, X, T, O, T, O, X, O, X, X, T, X, X, 	S		13	uhh, i cant answer this. let me know something youre interested in.
tktk653		U		14	im interested in all kinds of things honestly
tktk654	O, X, T, X, T, T, O, O, O, T, O, X, T, T, X, O, O, T, X, O, T, X, T, X, X, X, O, O, O, T, 	S		15	uhh, i cant answer this. can we talk about something else?
tktk655		U		16	what do you want to talk abut?
tktk656	X, X, T, X, O, O, O, T, T, O, O, T, T, X, O, O, O, X, O, O, T, O, T, X, T, X, T, O, O, T, 	S		17	what is abut?
tktk657		U		18	about* sorry it was a typo
tktk658	T, X, T, X, O, T, O, T, T, T, O, X, X, O, T, O, O, T, O, O, O, O, T, X, O, O, X, O, O, X, 	S		19	what is about*?
tktk659		U		0	hello
tktk660	O, O, O, O, O, O, T, O, O, O, O, O, O, O, O, O, O, O, X, O, O, O, O, O, O, O, O, O, O, O, 	S		1	hello, i really like movies. how about we talk about movies
tktk661		U		2	what is your favorite movie?
tktk662	O, X, T, T, T, O, O, O, O, O, O, T, O, T, T, O, T, O, X, T, T, T, O, O, X, T, O, O, T, O, 	S		3	do you like super hero movies or disney movies?
tktk663		U		4	super hero
tktk664	O, O, O, X, O, O, T, O, X, O, O, O, O, O, X, X, O, O, O, O, O, T, O, O, T, O, O, O, T, O, 	S		5	i really liked the first avenger movie. when iron man came back alive, i cried for it.
tktk665		U		6	who is your favorite
tktk666	O, X, T, O, T, T, O, T, X, X, O, T, O, T, T, O, X, O, T, T, O, O, O, T, T, T, O, O, T, O, 	S		7	do you want to see captain america: civil war together?
tktk667		U		8	yes
tktk668	O, O, T, X, O, O, T, O, X, T, O, T, O, O, O, O, O, O, T, O, O, T, O, O, O, O, O, O, T, O, 	S		9	okay what time
tktk669		U		10	9:30
tktk670	O, T, T, X, T, T, T, T, X, X, O, T, X, T, T, T, T, O, X, X, T, T, T, T, T, X, O, T, O, O, 	S		11	what is 9:30?
tktk671		U		12	yes
tktk672	O, T, T, X, X, X, T, T, X, X, O, X, T, X, T, T, T, T, T, X, T, T, T, T, T, T, T, T, T, O, 	S		13	okay what time
tktk673		U		14	9 pm
tktk674	O, T, T, T, X, T, O, T, X, O, O, O, O, X, X, T, T, O, X, X, O, T, O, T, T, T, O, O, X, O, 	S		15	who is your favorite super hero?
tktk675		U		16	iron man
tktk676	O, O, T, X, T, O, O, O, X, O, O, T, O, O, O, O, O, O, X, O, O, T, O, O, T, O, O, T, O, O, 	S		17	i love iron mans blue eyes.
tktk677		U		18	why
tktk678	O, X, X, X, X, X, T, O, X, X, O, X, X, X, X, T, X, O, X, X, T, T, T, X, T, X, O, T, X, O, 	S		19	just try and control yourself.
tktk679		U		0	hello
tktk680	O, X, X, O, X, X, X, X, O, T, T, O, X, O, X, T, O, X, X, X, X, T, X, X, X, T, X, X, X, O, 	S		1	the average guy isnt earning stratospheric sums of money being a huge headline act in vegas.
tktk681		U		2	what
tktk682	O, X, X, T, T, X, X, T, O, X, T, O, X, O, X, T, O, X, X, X, T, T, T, X, T, O, O, T, O, T, 	S		3	well, i think people are going to find out soon enough sunday night on cbs. whats your idea?
tktk683		U		4	interesting
tktk684	T, T, X, T, T, T, X, X, O, X, X, O, X, O, X, T, O, X, O, O, T, O, T, T, X, T, T, X, O, O, 	S		5	i dont know. what do you think about music
tktk685		U		6	i like blues music
tktk686	X, X, X, T, X, X, X, X, O, X, X, O, X, T, X, T, O, X, X, X, X, T, X, T, T, T, X, X, X, O, 	S		7	we never really grow up, we only learn how to act in public.
tktk687		U		8	some do and some do not
tktk688	X, T, O, O, O, O, X, T, O, X, T, T, X, O, X, T, O, X, O, X, O, O, T, O, T, X, O, X, X, O, 	S		9	i certainly try.
tktk689		U		10	good for you
tktk690	T, X, O, T, O, X, X, O, X, T, O, X, X, X, T, O, X, O, X, O, T, T, T, O, O, T, T, O, T, O, 	S		11	uh-huh, i do.
tktk691		U		12	where to you go in public
tktk692	O, X, T, O, T, X, X, O, X, O, T, X, O, X, T, O, X, O, X, T, T, T, O, X, T, O, T, O, O, X, 	S		13	i went to school in abcd any thoughts?
tktk693		U		14	where is abcd?
tktk694	X, X, O, X, X, X, O, O, X, X, O, X, T, X, T, O, X, T, X, T, X, T, X, T, X, T, T, O, O, X, 	S		15	abcd by abcd any thoughts?
tktk695		U		16	that seems generic
tktk696	T, X, O, T, X, X, X, O, X, X, O, X, T, X, T, O, X, O, X, O, T, X, O, X, T, T, T, O, T, T, 	S		17	yes. thats interesting.
tktk697		U		18	its generic not interesting
tktk698	X, X, T, T, X, X, T, O, X, X, X, X, O, X, T, O, X, X, X, O, T, T, X, T, T, O, T, X, O, T, 	S		19	i never make the same mistake twice. i make it five and six times, just to be sure.
tktk699		U		0	hello
tktk700	T, X, X, X, T, T, X, T, O, X, X, X, O, O, X, O, X, X, O, T, X, X, T, X, X, X, X, T, O, X, 	S		1	i dont know. can you tell me something about pittsburgh
tktk701		U		2	i dont know anything about pittsburgh.
tktk702	T, X, X, T, T, T, X, X, O, X, O, X, T, T, T, O, X, O, O, T, X, X, T, O, X, O, X, X, T, O, 	S		3	yes, i did read about that. any thoughts?
tktk703		U		4	read about what?
tktk704	O, X, X, T, O, T, X, T, O, X, T, T, T, O, T, O, T, T, O, T, X, X, T, T, X, X, X, O, X, X, 	S		5	well, i think people are going to find out soon enough sunday night on cbs.
tktk705		U		6	find out soon enough about what?
tktk706	O, X, T, O, O, O, X, O, X, X, O, X, X, O, X, O, X, X, X, O, X, X, T, T, T, X, T, T, T, X, 	S		7	you know, piers, i think too young. but anyway, id like to chat with you.
tktk707		U		8	then actually chat with me. what is  your favorite color?
tktk708	T, T, O, O, O, O, O, O, O, X, O, O, X, O, X, O, T, X, X, O, O, X, T, X, X, O, T, O, T, O, 	S		9	my favorite would have to be red any thoughts?
tktk709		U		10	red is ok. my favorite is purple.
tktk710	T, X, T, X, T, T, X, T, X, X, T, X, O, O, O, T, X, X, T, O, X, T, O, X, X, T, X, X, T, O, 	S		11	i dont have a favorite movie, but i really like abcd thats interesting.
tktk711		U		12	i didnt ask you about your favorite movie...
tktk712	X, O, O, X, O, X, T, T, X, O, X, X, T, O, O, X, T, X, T, T, X, T, T, T, O, T, T, T, O, O, 	S		13	i really dont know what my favorite move is
tktk713		U		14	what is your favorite video game?
tktk714	T, O, O, O, O, O, O, T, X, O, X, X, O, T, O, X, O, X, X, T, X, T, X, T, X, O, O, T, O, O, 	S		15	my favorite game is abcd whats your idea?
tktk715		U		16	do you know any others besides abcd?
tktk716	X, O, T, O, O, O, O, T, X, O, T, X, O, O, O, T, T, X, O, T, X, T, T, T, T, T, O, T, O, O, 	S		17	yes.
tktk717		U		18	what is your second favorite video game?
tktk718	X, T, X, X, T, O, T, O, X, O, X, X, O, O, O, X, T, X, O, T, O, T, O, O, T, O, T, X, O, O, 	S		19	my favorite game is abcd
tktk719		U		0	good afternoon
tktk720	O, X, T, T, T, X, T, X, X, O, X, O, X, X, X, T, T, T, T, T, T, T, T, T, O, T, X, X, T, T, 	S		1	well, you know, im not sure. what do you think about movies
tktk721		U		2	that didnt make any sense
tktk722	X, X, T, X, T, X, T, T, X, X, X, O, X, X, X, X, T, T, T, T, T, T, T, T, O, X, X, T, O, X, 	S		3	its exactly what happened.
tktk723		U		4	i dont think i like you.
tktk724	T, X, T, T, O, X, T, T, T, X, X, X, X, X, X, X, T, T, T, T, T, T, T, T, X, T, X, T, O, O, 	S		5	i love larry king. any thoughts?
tktk725		U		6	no.
tktk726	X, X, T, T, O, T, T, X, X, X, X, X, X, T, T, X, T, T, T, T, T, T, T, T, X, T, X, X, T, X, 	S		7	hmm. any thoughts?
tktk727		U		8	nope.
tktk728	X, X, T, X, O, T, T, X, X, T, X, X, X, X, X, X, T, T, T, T, T, T, T, T, X, X, X, X, O, T, 	S		9	politicians and diapers have one thing in common. they should both be changed regularly, and for the same reason.
tktk729		U		10	theyre full of shit.
tktk730	X, X, T, T, O, O, T, X, X, T, X, X, X, X, O, X, T, T, T, T, T, T, T, T, O, X, X, O, O, X, 	S		11	do you like to play some board games together next time
tktk731		U		12	sure.
tktk732	X, X, T, T, T, T, T, O, O, T, X, X, X, X, X, O, T, T, T, T, T, T, T, T, T, T, O, O, X, T, 	S		13	yes.
tktk733		U		14	youre kinda boring.
tktk734	X, X, T, T, T, T, T, X, X, T, X, X, X, X, X, X, T, T, T, T, T, T, T, T, X, X, X, X, X, X, 	S		15	we live in a society where pizza gets to your house before the police.
tktk735		U		16	what is your favorite hobby?
tktk736	X, X, T, X, T, T, X, X, X, T, X, X, X, X, X, X, T, T, T, T, T, T, T, T, X, X, X, X, X, X, 	S		17	the voices in my head may not be real, but they have some good ideas!
tktk737		U		18	do you sleep?
tktk738	X, X, T, X, T, O, O, X, X, T, X, X, X, X, T, X, T, T, T, T, T, T, T, T, X, X, X, X, T, X, 	S		19	maybe you havent done it yet. whats your idea?
tktk739		U		0	hello how are you?
tktk740	T, O, O, T, X, O, T, T, O, O, O, T, O, O, O, X, O, O, O, O, O, O, T, O, O, O, O, X, O, O, 	S		1	hello, i really like movies. how about we talk about movies
tktk741		U		2	team cap?
tktk742	X, T, T, X, X, T, T, X, X, T, T, T, O, O, O, X, O, X, T, O, O, O, T, O, T, O, O, X, O, T, 	S		3	do you like super hero movies or disney movies?
tktk743		U		4	yes and you?
tktk744	X, T, X, X, X, T, X, X, X, X, X, X, O, T, T, X, T, X, O, T, X, X, T, T, X, T, T, X, T, X, 	S		5	glad i could help
tktk745		U		6	spanish?
tktk746	X, O, X, X, X, O, X, X, X, X, X, X, O, T, O, X, O, X, T, O, X, T, X, O, X, O, O, X, X, T, 	S		7	my favorite super hero is captain america.
tktk747		U		8	talk spanish?
tktk748	X, T, X, X, X, T, X, X, X, X, X, T, O, T, O, X, O, X, X, O, T, O, X, T, X, X, O, X, X, T, 	S		9	i really like the first avenger movie, have you seen it before?
tktk749		U		10	i saw it
tktk750	X, T, O, O, O, T, O, X, O, O, T, O, O, T, O, X, O, O, O, O, O, O, O, O, T, O, O, T, O, O, 	S		11	do you want to see it again?
tktk751		U		12	x men
tktk752	X, O, O, X, X, O, T, X, X, X, X, X, O, T, O, X, T, X, T, O, T, O, X, O, T, T, O, O, O, X, 	S		13	i really liked the first avenger movie. when iron man came back alive, i cried for it.
tktk753		U		14	x men
tktk754	X, X, O, O, X, T, O, X, T, X, X, T, O, X, T, X, T, O, T, T, T, X, X, O, X, X, T, T, T, X, 	S		15	you already said that!
tktk755		U		16	i want to talk about x men
tktk756	X, T, X, X, X, X, X, X, X, T, X, O, O, X, O, X, O, T, O, O, T, T, X, O, X, X, O, T, T, X, 	S		17	have you seen captain america: civil war?
tktk757		U		18	yes and the avengers 2
tktk758	X, X, O, O, X, O, O, O, O, O, O, O, O, T, O, X, O, T, O, O, O, O, X, O, T, X, O, O, O, O, 	S		19	my friend just saw captain america: civil war. he told me it is a really nice one, much better than the previous captain america movie.
tktk759		U		0	hello
tktk760	T, X, O, X, X, T, X, X, X, O, X, X, T, X, O, X, X, T, T, T, X, X, X, O, T, O, X, T, X, X, 	S		1	the average guy isnt earning stratospheric sums of money being a huge headline act in vegas.
tktk761		U		2	i agree
tktk762	T, X, O, X, X, T, O, T, X, T, X, T, X, X, T, X, X, X, X, X, T, X, X, X, T, O, O, T, X, X, 	S		3	do not argue with an idiot. he will drag you down to his level and beat you with experience.
tktk763		U		4	you dont know me
tktk764	X, X, O, T, X, T, O, T, O, T, X, T, T, T, X, T, X, T, T, X, O, X, O, T, T, O, O, O, X, X, 	S		5	yes. any thoughts?
tktk765		U		6	youre very confrontational, chat bot
tktk766	X, X, O, T, X, T, O, T, X, T, X, X, T, X, X, X, X, X, X, O, O, X, X, T, X, O, X, T, X, X, 	S		7	i never make the same mistake twice. i make it five and six times, just to be sure.
tktk767		U		8	you sound like the guy from vegas
tktk768	X, X, O, X, X, X, T, T, X, T, X, T, T, X, X, X, O, T, T, X, O, O, T, T, T, O, X, T, X, X, 	S		9	we never really grow up, we only learn how to act in public.
tktk769		U		10	wise words again
tktk770	O, O, O, T, X, X, O, X, O, T, X, X, T, X, X, T, O, T, O, X, O, X, X, T, O, O, T, O, X, X, 	S		11	thats interesting. can you tell me something about sports
tktk771		U		12	i hate them
tktk772	X, X, O, X, X, X, T, O, O, X, X, T, T, X, X, T, O, X, T, X, O, X, T, T, X, O, O, T, X, X, 	S		13	well, im not too sure about how many people have actually done it, per se. what do you think?
tktk773		U		14	everyone has
tktk774	X, T, O, X, X, X, O, X, O, X, X, T, T, X, X, O, T, X, O, X, O, O, O, T, T, O, T, T, X, X, 	S		15	the answer is yes. can we talk about something else?
tktk775		U		16	coffee
