id	speaker	time	turn-index	utterance	annotations
iri273	S		13	not so fast, pal.	X,T,X, X,X,X,X,X,O,O,O,T,T,X,X,X,T,T,O,O,O,O,O,O,O,O,X,X,X,O, 
iri274	U		14	what?	
iri275	S		15	what did you order?	T,T,X, X,O,O,X,X,T,T,T,X,T,O,X,X,X,X,T,T,T,T,T,T,X,T,X,X,X,X, 
iri276	U		16	wine as usual	
iri277	S		17	more wine?	T,T,X, X,T,X,T,X,X,X,X,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,T,X, 
iri278	U		18	no thanks. i would like water now	
iri279	S		19	danny, i want to dance.	X,T,X, X,X,X,X,O,T,T,T,T,T,X,X,X,X,X,T,T,T,T,T,T,T,T,X,T,X,X, 
iri280	U		0	hello alex	
iri281	S		1	yeah... well...	X,X,X, O,X,X,X,X,X,X,X,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T, 
iri282	U		2	well...what??	
iri283	S		3	slimeball? louse? jackass?  stuck-up blimpasaurus?	X,T,X, O,X,X,X,O,O,O,O,T,T,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,T,O, 
iri284	U		4	what you say?	
iri285	S		5	 wouldlittle latin lupe lu. would danny groans.	O,T,X, O,T,X,T,T,X,X,X,T,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,T,X, 
iri286	U		6	i do not get you...	
iri287	S		7	take care, viv.	O,T,X, T,O,X,X,X,O,O,O,T,O,X,X,X,X,X,O,O,O,O,O,O,O,O,X,O,T,O, 
iri288	U		8	oh come on! just tell me something reasonable	
iri289	S		9	oh come on!	T,T,X, T,O,X,T,X,X,X,X,O,T,X,X,X,X,X,X,X,X,X,T,T,X,T,O,T,T,X, 
iri290	U		10	ok, now you are repeating what i am saying...	
iri291	S		11	look, baxter, i am not stupid.	O,O,O,O,T,T,T,T,O,T,O,T,X,T,O,O,O,T,T,O,T,O,T,X,O,O,T,O,O,T, 
iri292	U		12	you shall not pass	
iri293	S		13	why not, against your religion?	O,O,X,X,T,O,O,O,X,O,T,O,O,O,X,X,X,O,O,X,O,O,O,X,O,O,O,O,O,O, 
iri294	U		14	the night is darker before dawn	
iri295	S		15	see you at dawn.	O,T,X,X,X,O,T,T,X,O,X,T,O,O,X,X,X,O,O,X,O,T,T,X,X,X,O,O,O,X, 
iri296	U		16	maybe tomorrow...	
iri297	S		17	you are a big help. can i have one of those?	O,O,T,O,T,O,O,O,O,T,T,X,T,O,O,X,O,T,X,X,X,X,X,X,X,X,T,X,X,X, 
iri298	U		18	are you sure?	
iri299	S		19	you know it.	O,O,T,T,X,O,O,O,T,O,O,O,O,O,T,T,T,O,O,X,O,T,X,X,O,O,O,O,O,O, 
iri300	U		0	heyyyy	
iri301	S		1	what the hell is that?	X,T,T,T,X,T,O,T,T,T,O,X,O,O,T,T,X,T,X,X,T,T,X,X,O,O,T,O,X,O, 
iri302	U		2	it means i am happy to talk to you	
iri303	S		3	ok, thank you for explaining it!	O,X,X,X,X,O,O,T,T,T,T,X,T,T,T,T,T,T,T,T,X,X,X,X,O,O,O,X,O,O, 
iri304	U		4	no problemo	
iri305	S		5	no.	O,X,X,T,X,O,O,O,X,T,T,X,X,O,T,T,X,T,T,X,O,T,X,X,O,O,O,O,T,O, 
iri306	U		6	no?	
iri307	S		7	i have to get her back..	O,X,X,X,X,X,T,X,X,T,T,T,X,O,X,X,X,O,X,X,O,X,X,X,X,X,T,O,X,X, 
iri308	U		8	who?	
iri309	S		9	kubelik.	X,O,O,O,O,T,T,X,O,X,O,T,O,T,O,O,O,T,T,O,T,O,T,X,O,O,X,O,X,X, 
iri310	U		10	who is kubelik?	
iri311	S		11	no kidding. buddy-boy and kubelik having themselves a little toot!	T,X,X,O,X,X, X,T,O,O,O,X,X,O,O,O,T,T,T,X,O,X,T,O,O,X,O,T,O,O, 
iri312	U		12	what does that mean?	
iri313	S		13	you sell to people that ca not stay away from an addiction.	X,X,X,T,X,T, X,T,O,O,X,X,X,O,X,T,O,O,T,T,X,T,T,O,T,X,T,T,T,T, 
iri314	U		14	sell what?	
iri315	S		15	a little of anything that matters.	X,X,X,X,X,X, X,T,O,O,O,X,X,O,T,O,T,T,X,T,X,X,X,O,O,T,X,X,T,X, 
iri316	U		16	drugs?	
iri317	S		17	no, thank you. i am straight.	T,X,X,T,X,X, X,T,O,X,O,X,O,X,O,O,O,O,O,T,T,X,T,O,T,O,O,X,T,T, 
iri318	U		18	are you really straight?	
iri319	S		19	what?	X,X,X,T,O,O, X,X,O,X,O,X,X,X,X,O,O,T,T,X,X,X,X,T,T,T,X,X,T,O, 
iri320	U		0	hi alex, what is new?	
iri321	S		1	that is me <name-self> informal response interactive system !, ha ha ha!	X,X,X,T,X,X, X,X,O,X,O,X,O,X,X,O,O,T,T,X,T,X,T,T,T,X,O,X,O,T, 
iri322	U		2	good for you, i am depressed	
iri323	S		3	i am.	X,X,T,T,O,T, X,X,O,X,O,X,O,X,X,O,O,T,T,X,X,X,X,T,X,X,X,X,T,T, 
iri324	U		4	you too?	
iri325	S		5	see ya.	X,X,O,X,X,T, X,X,T,X,X,X,X,X,X,O,T,T,X,X,X,X,X,T,X,X,T,X,O,T, 
iri326	U		6	i am literally swimming in work!	
iri327	S		7	ha ha.	X,X,T,T,O,X, T,T,T,X,O,X,O,X,X,O,O,T,T,O,X,T,T,T,X,T,T,X,O,T, 
iri328	U		8	that is not funny indeed	
iri329	S		9	do they like chocolate?	T,X,T,T,X,X, X,T,T,X,O,X,O,X,X,O,O,T,T,X,X,X,T,T,X,X,T,X,O,T, 
iri330	U		10	yes, i like it, why?	
iri331	S		11	be careful.	T,O,T,X,T,X,O,T,X,T,X,O,O,X,X,T,T,O,O,T,O,O,O,O,T,T,T,T,T,O, 
iri332	U		12	oh, i see, it has a lot of calories, right	
iri333	S		13	i thought you wanted to get diesel for the summer.	O,O,O,T,O,T,T,O,T,T,X,O,T,X,O,O,O,T,O,T,O,O,O,X,T,O,T,O,O,X, 
iri334	U		14	no, i do not consume diesel	
iri335	S		15	i see a whirlybird!	X,O,O,T,T,X,T,O,T,T,O,O,T,X,O,T,T,T,T,X,O,X,O,X,X,T,O,X,T,X, 
iri336	U		16	what is that?	
iri337	S		17	i think i know it, but... i do not remeber now... :)	O,O,O,O,T,T,T,T,O,O,O,O,O,O,O,X,T,T,O,T,O,T,O,O,X,O,O,X,O,T, 
iri338	U		18	sorry to hear that, it seems you are quite short-minded	
iri339	S		19	something short.	O,X,O,T,T,O,O,T,X,T,X,T,X,T,T,O,T,O,O,X,O,O,X,T,X,O,X,X,T,X, 
iri340	U		0	hi alex	
iri341	S		1	get in.	O,X,O,X,T,X,X,T,X,T,X,T,T,X,T,O,T,T,O,X,O,T,X,O,X,T,O,X,T,X, 
iri342	U		2	no, thanks	
iri343	S		3	i will see you out.	O,X,O,X,T,X,X,T,X,X,X,X,O,T,X,T,T,X,O,X,O,X,O,X,X,O,O,T,O,X, 
iri344	U		4	yes, there is a sunny day out there	
iri345	S		5	in a day or two, yes.	X,X,X,X,T,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,O,X,O,X,X,X,T,X,X,X, 
iri346	U		6	no, i need to talk to you today!	
iri347	S		7	we need to talk.	X,X,X,X,T,X,X,T,X,T,X,X,X,X,O,T,X,X,O,X,O,T,T,X,X,X,O,X,X,X, 
iri348	U		8	yes, please listen to me	
iri349	S		9	i do not want to talk about it.	T,X,O,X,T,T,T,O,T,O,X,X,O,O,T,T,T,O,O,X,O,T,T,X,X,X,T,O,X,X, 
iri350	U		10	you do not even know what i am going to say!	
iri351	S		11	yes, you are!	X,X,X,O,O,O, O,T,O,T, O,O,O,O,T,O,T,O,O,T,O,O,O,O,X,O,O, O,X,O, 
iri352	U		12	ok, tell me, what you think i will say?	
iri353	S		13	you notice last night, that tattoo on my butt?	X,T,X,X,O,T, X,O,T,X, T,X,T,X,X,X,X,X,O,X,T,T,T,X,T,T,X, T,X,X, 
iri354	U		14	ha ha ha! very funny	
iri355	S		15	hey head inalexo alexhe school. shane spoalexs somealexhing.	X,X,X,O,T,O, T,T,X,X, T,O,O,X,X,X,T,X,O,X,O,T,O,X,X,O,T, X,X,T, 
iri356	U		16	i want to talk about the number of participants!	
iri357	S		17	well, you are going to have to. your father is at the hospital.	X,T,X,O,O,O, O,T,X,T, X,O,O,O,X,X,X,T,X,X,T,T,O,T,X,O,T, O,O,O, 
iri358	U		18	what happened to him?	
iri359	S		19	well...	X,T,X,O,T,T, T,T,X,X, T,X,T,X,X,X,X,O,X,O,T,X,T,O,X,T,O, X,X,T, 
iri360	U		0	hello alex.	
iri361	S		1	we want you to come with us so we can talk some more about your experiences.	X,T,T,X,T,T, T,T,O,X, X,T,T,X,X,X,X,T,X,T,O,O,T,T,T,X,T, X,X,X, 
iri362	U		2	which experiences exactly?	
iri363	S		3	exactly.	X,O,O,O,T,O, O,T,X,T, T,O,T,O,X,X,X,X,X,X,O,O,T,O,O,O,X, T,O,T, 
iri364	U		4	ok.	
iri365	S		5	i will just wait in the car as you go back e inside to pee. again.	X,X,X,T,T,T, X,T,O,X, X,X,T,X,X,X,T,T,X,O,T,O,T,O,O,X,O, X,X,X, 
iri366	U		6	lol, it is scary how well you know me alex, i do have to pee. again.	
iri367	S		7	scary.	X,T,X,X,T,X, X,O,X,X, X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X, X,X,X, 
iri368	U		8	yup.	
iri369	S		9	wanna hit some of mine?	X,T,O,X,X,X, X,T,X,X, X,T,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X, X,X,X, 
iri370	U		10	some of your what?	
iri371	S		11	dude, i manage an applebee is, that money meant something to me...	T,O,T,O,X,T,O,O,X,O,O,X,O,X,T,O,T,T,X,O,O,T,O,O,O,O,O,T,O,O, 
iri372	U		12	i am pretty sure money means something to everyone.	
iri373	S		13	i  would m sure .	O,X,X,X,X,O,X,X,X,T,O,X,O,T,O,O,O,O,X,X,T,O,X,X,O,X,O,X,X,X, 
iri374	U		14	so which applebee is do you manage?	
iri375	S		15	how do you manage to fit it all in?	O,X,X,X,X,O,X,X,X,T,T,X,T,X,T,X,X,O,X,T,O,X,X,X,X,X,X,T,T,X, 
iri376	U		16	fit what all in?	
iri377	S		17	okay, then... well,  wouldbye...	T,X,X,O,X,X,O,T,X,O,O,X,O,X,O,O,T,X,T,T,X,O,X,X,O,O,O,X,O,T, 
iri378	U		18	aww, are we done talking?	
iri379	S		19	i love it. i feel like a queen.	X,X,O,X,X,O,O,O,O,O,T,O,T,T,O,T,X,O,T,X,O,O,O,X,X,X,X,O,O,T, 
iri380	U		0	hello alex	
iri381	S		1	can i give you my number?	T,X,T,T,X,T,X,X,X,O,O,X,O,O,X,O,T,T,T,O,T,O,T,X,O,O,O,X,T,X, 
iri382	U		2	please	
iri383	S		3	mr bach-templemead...	T,X,T,T,X,X,T,X,O,O,O,X,O,X,O,O,T,X,X,O,T,O,T,X,O,O,O,O,O,T, 
iri384	U		4	ha ha ha	
iri385	S		5	hey head inalexo alexhe school. shane spoalexs somealexhing.	O,X,O,T,X,O,O,O,X,O,X,X,X,O,X,X,O,X,O,T,T,O,O,X,X,X,X,X,O,X, 
iri386	U		6	you are alone there?	
iri387	S		7	i know. i will make sure. how about some breakfast?	O,X,X,T,X,X,X,X,X,T,T,X,T,X,T,X,O,X,T,T,X,T,T,X,X,X,X,O,X,X, 
iri388	U		8	nobody chats with you, let us have the breakfast	
iri389	S		9	you know, danny, you really ought to eat with the rest of us.	O,X,X,X,X,X,X,X,X,T,T,X,X,X,O,X,X,X,T,T,T,T,X,X,X,X,X,X,T,T, 
iri390	U		10	new session	
iri391	S		11	where have you been?	O,T,T,T,T,T,T,T,T,X,X,O,T,O,O, T,O,O,O,T,X, T,X,O, O,X,O, O,T,O, 
iri392	U		12	please	
iri393	S		13	what?	O,O,O,O,O,O,O,O,O,X,O,O,O,O,O, O,O,O,O,T,O, X,O,T, X,O,O, O,T,O, 
iri394	U		14	hello alex	
iri395	S		15	it is me.	T,O,O,O,O,T,T,T,T,X,X,T,O,O,O, T,O,O,O,T,X, X,O,T, T,X,O, O,T,O, 
iri396	U		16	who else is coming for breakfast?	
iri397	S		17	pass.	T,X,X,X,X,X,X,X,X,X,X,T,X,O,O, T,O,O,T,X,T, X,T,O, T,X,X, T,O,T, 
iri398	U		18	what?	
iri399	S		19	danny, get into position.	O,X,X,X,X,X,X,X,T,X,X,T,T,O,T, O,O,X,O,T,T, X,O,O, O,O,O, X,O,T, 
iri400	U		0	hello alex	
iri401	S		1	oh, danny.	T,T,T,T,T,T,T,T,T,X,X,T,T,O,X, X,X,X,T,X,T, X,X,T, X,X,X, X,O,T, 
iri402	U		2	what happened?	
iri403	S		3	are you alright?	O,T,T,T,T,T,T,T,T,O,X,T,X,O,O, T,T,X,O,O,O, X,O,O, O,O,O, X,O,T, 
iri404	U		4	yes, what about you?	
iri405	S		5	is this a secure, uh----	O,X,X,X,X,X,X,X,X,O,X,T,X,T,O, T,T,X,O,O,O, X,O,O, O,O,O, X,O,T, 
iri406	U		6	not sure, so do not say too much	
iri407	S		7	you do too, danny.	T,X,X,X,X,X,X,X,X,X,T,O,X,O,T, T,T,X,O,X,T, X,O,T, X,O,T, X,O,T, 
iri408	U		8	ok, done	
iri409	S		9	you are right. it is ok. i just want it to be ok.	O,O,O,O,O,O,O,O,O,X,O,T,O,O,X, T,T,X,O,X,X, X,O,X, X,O,O, X,O,T, 
iri410	U		10	good for you	
iri411	S		11	three nails.	X,O,O,O,T,X,X,O,X,O,O,X,X,O,O,O,O,O,T,X,X,T,T,X,T,X,O,T,T,X, 
iri412	U		12	only three? you need more?	
iri413	S		13	i need more.	X,T,X,X,X,O,X,T,T,O,T,O,O,X,X,X,O,X,T,X,X,X,X,X,T,X,X,T,X,T, 
iri414	U		14	ok, i can give you seven more nails	
iri415	S		15	ok.	X,O,X,T,X,O,X,T,X,O,T,X,O,T,T,X,X,X,T,X,X,X,X,X,X,X,T,O,X,X, 
iri416	U		16	so you have 10 in total :)	
iri417	S		17	danny, you are a total paranoid.	X,T,O,O,O,O,T,O,X,T,O,X,X,O,O,O,T,T,O,X,X,T,O,T,T,T,O,X,X,T, 
iri418	U		18	ha ha ha you too	
iri419	S		19	why were you buying a coffin?	X,X,X,X,X,O,O,T,T,O,T,X,X,T,X,X,O,O,O,X,X,X,O,X,O,O,X,T,X,O, 
iri420	U		0	hey, how are you today?	
iri421	S		1	syevodnya?	T,O,O,O,O,O,T,O,T,T,O,X,T,O,O,O,T,T,T,X,X,X,O,X,O,O,O,O,X,X, 
iri422	U		2	what?	
iri423	S		3	he sighs with relief.	X,X,O,O,O,T,O,T,T,T,O,T,T,O,O,O,T,T,O,X,O,X,O,T,O,O,O,O,T,O, 
iri424	U		4	that is poetic.	
iri425	S		5	and there is one thing i have learned from being a sports fan.	X,X,T,T,X,O,O,T,T,T,O,T,T,T,T,T,T,X,T,X,T,X,O,T,O,O,T,T,T,X, 
iri426	U		6	what is it?	
iri427	S		7	why do not you ask to somebody else? i am just a robot!	X,X,X,X,X,O,O,X,O,O,T,O,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,T, 
iri428	U		8	ok, my bad	
iri429	S		9	it is true, danny.	X,T,O,O,O,O,T,O,O,T,O,X,O,O,O,O,T,T,T,X,X,X,O,X,O,O,O,T,X,O, 
iri430	U		10	i know	
iri431	S		11	then why have you come?	O,T,X,T,T,O,T,O,O,T,O,O,T,T,X,O,X,O,O,O,X,O,T,T,T,T,O,T,T,T, 
iri432	U		12	to help collect data	
iri433	S		13	i am gonna collect someday, you know?	X,T,X,O,X,O,X,X,T,T,T,X,T,X,X,T,T,O,O,T,T,T,X,X,X,X,X,X,T,O, 
iri434	U		14	collect data? on us?	
iri435	S		15	you have no proof that it was correct data.	T,X,T,O,X,O,X,X,O,T,O,T,O,O,T,T,O,O,X,O,O,O,O,O,T,X,X,X,O,O, 
iri436	U		16	but i believe it was	
iri437	S		17	thanks very much.	X,X,X,X,X,X,X,X,T,T,X,X,X,X,O,T,X,X,X,T,X,X,X,X,X,X,X,X,X,T, 
iri438	U		18	i trust you.	
iri439	S		19	how do you know?	O,X,O,O,X,O,X,T,T,T,T,O,X,T,O,O,X,X,X,X,T,X,X,X,T,T,X,X,T,X, 
iri440	U		0	hello you. what is your name?	
iri441	S		1	hello?!	O,X,O,T,X,T,X,T,O,T,O,O,O,T,T,X,T,O,T,T,T,O,O,O,T,X,X,X,X,T, 
iri442	U		2	what is your name ?	
iri443	S		3	mud, if anybody sees you.	X,X,T,T,O,X,T,T,O,T,O,X,O,O,T,X,O,O,O,T,T,O,O,O,O,O,X,T,O,O, 
iri444	U		4	uh ?	
iri445	S		5	have you heard of jonas salk?	T,X,T,T,O,O,X,X,O,T,O,T,O,T,T,O,T,O,T,O,O,O,O,O,X,X,X,X,O,O, 
iri446	U		6	no. never. whos is this	
iri447	S		7	not until sam and jen.	T,X,T,X,X,X,X,T,O,T,O,T,O,T,X,T,X,T,O,T,X,O,O,O,O,O,X,X,X,T, 
iri448	U		8	what do you think about the last star wars?	
iri449	S		9	mallrats, clerks, and dogma.	T,X,T,O,O,O,X,T,O,X,O,T,O,O,O,O,T,T,O,T,T,O,O,O,O,O,X,X,O,O, 
iri450	U		10	what about dogma?	
iri451	S		11	hey...	O,X,X,X,X,X,T,T,X,O,X,T,T,X,X,O,X,X,X,O,X,X,X,X,X,X,T,X,X,O, 
iri452	U		12	do you really want to talk with me?	
iri453	S		13	talk to me.	T,X,T,T,O,O,O,O,O,O,X,O,X,X,O,T,X,X,X,X,X,O,O,T,O,O,X,T,X,T, 
iri454	U		14	yeah. but you say nothing, almost	
iri455	S		15	how are you doing? is cliff here?	T,T,T,T,O,O,O,O,O,O,X,O,X,X,T,O,X,X,X,O,X,X,T,O,T,O,X,T,X,T, 
iri456	U		16	whos is cliff?	
iri457	S		17	so who is the guy?	T,X,X,X,X,X,X,T,O,O,X,X,X,X,T,T,X,X,X,X,X,X,X,X,T,X,X,X,X,T, 
iri458	U		18	i do not know. you tell me	
iri459	S		19	why do not you?	T,X,X,X,X,X,X,T,T,O,X,T,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X, 
iri460	U		0	hi there alex	
iri461	S		1	not him. not him, not him, not him.	T,T,T,X,T,O,X,O,T,O,X,O,X,X,T,O,X,X,X,X,X,O,X,X,T,O,X,T,X,T, 
iri462	U		2	who?	
iri463	S		3	sophie maes. you think she will go out with me?	X,X,X,X,T,X,T,T,T,O,X,O,X,X,X,X,X,X,X,X,O,O,X,T,T,T,X,T,X,T, 
iri464	U		4	sure	
iri465	S		5	you know i need this. you know it will help.	T,T,T,X,O,X,X,T,X,O,X,X,X,X,T,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X, 
iri466	U		6	help with what?	
iri467	S		7	oh! well, what happened to you?	X,T,T,X,X,X,X,T,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,T,X,X,X,X, 
iri468	U		8	what do you mean?	
iri469	S		9	yes. okay. yes.	X,T,T,X,O,O,X,T,O,O,X,T,X,X,X,O,X,X,X,X,X,O,X,T,O,X,X,T,X,T, 
iri470	U		10	what?	
iri471	S		11	i have been thinking. maybe we should see other people.	T,O,O,O,O,T,O,T,T,O,T,O,X,O,O,O,O,T,T,O,T,O,O,T,X,O,O,O,T,X, 
iri472	U		12	ok	
iri473	S		13	you notice last night, that tattoo on my butt?	X,O,O,O,O,T,O,O,O,O,O,O,O,O,O,O,O,O,O,T,O,O,O,O,T,O,O,O,T,X, 
iri474	U		14	no	
iri475	S		15	pre lap: the sound of a doorbell...	O,O,O,O,X,O,T,O,T,O,O,O,T,O,O,O,O,T,T,O,O,O,O,O,X,O,O,O,O,X, 
iri476	U		16	huh?	
iri477	S		17	after i did  wouldracula, would the studio offerdanny me  wouldfrankensteing! but i turndanny it down.	O,X,O,O,X,O,T,T,T,O,O,O,O,O,X,O,O,T,O,O,O,T,O,O,O,O,O,O,T,T, 
iri478	U		18	why?	
iri479	S		19	it is not right. i feel horrible. besides...	O,T,O,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,T,O,O,T,O,O,O,T,T, 
iri480	U		0	hi buddy	
iri481	S		1	what do you want? that is the question, is not it.	T,T,T,O,X,X,T,X,O,O,T,O,T,T,X,O,O,T,O,O,T,X,O,O,T,T,T,O,X,X, 
iri482	U		2	i want to talk to you about the incident	
iri483	S		3	incident?	O,O,T,T,X,T,O,T,T,O,O,O,T,O,X,O,O,T,O,O,T,T,O,T,T,T,O,O,T,T, 
iri484	U		4	yes, you know in trump is last rally	
iri485	S		5	none of the papers covered the rally. not even the sun.	X,X,O,T,X,O,T,T,X,O,O,O,T,T,X,O,T,X,T,X,O,X,O,O,O,T,O,O,T,X, 
iri486	U		6	yes, but it is all over the web!	
iri487	S		7	yes. it is.	X,T,X,X,X,X,T,T,X,X,X,O,X,T,X,T,X,X,T,O,X,X,X,X,T,T,X,O,X,T, 
iri488	U		8	so, what do you plan to do about it	
iri489	S		9	i am gonna go talk to him. you mind staying here?	X,X,T,T,X,O,O,T,X,T,O,O,T,T,X,O,X,T,O,T,T,X,O,X,O,T,T,O,T,T, 
iri490	U		10	sure, i can wait, but let him know he cannot continue with this behaviour in puiblic	
iri491	S		11	i ca not do this. i am telling you, i cannot do this.	O,X,X,T,T,T,X,T,O,T,X,T, X,O,X,O,X,O,X,T,O,T,O,T,T,X, T,X,T,T, 
iri492	U		12	are you scared about talking to him?	
iri493	S		13	what do you think i am talking about?	T,T,T,O,O,O,T,T,O,T,X,T, O,X,O,O,O,X,T,T,T,X,X,O,T,X, O,T,T,O, 
iri494	U		14	to make things clear, this is going out of control. i think this guy is going crazy	
iri495	S		15	this is crazy.	X,X,T,X,X,X,O,X,O,X,X,T, O,X,T,T,O,O,T,X,O,X,O,O,O,X, O,T,O,X, 
iri496	U		16	of course it is	
iri497	S		17	this is the peterson is home.	O,X,X,X,X,X,X,X,X,T,X,T, O,X,X,T,O,X,O,O,T,O,O,O,O,T, T,O,O,T, 
iri498	U		18	whoever home it is, i do not care, just make it right buddy. talk to him!	
iri499	S		19	right? buddy?	X,X,X,O,T,T,X,X,X,X,X,T, X,X,X,T,X,X,T,X,X,X,T,X,X,T, T,X,X,T, 
iri500	U		0	alex, can you tell me a joke?	
iri501	S		1	you are an employee of mr. vitti is.	T,X,X,O,O,O,X,X,X,T,X,T, X,X,X,X,X,X,X,X,X,X,X,X,X,X, T,T,X,O, 
iri502	U		2	who is mr.vitti?	
iri503	S		3	where is vitti? i do not see vitti.	X,O,X,T,T,X,X,T,X,X,X,X, O,X,O,X,O,O,X,T,O,X,X,T,X,X, X,T,X,X, 
iri504	U		4	what is your favorite joke?	
iri505	S		5	that is a joke.	O,X,X,X,X,X,X,T,X,X,X,X, O,X,T,X,O,O,X,X,O,O,T,T,T,X, X,X,O,X, 
iri506	U		6	are you in a relationship right now?	
iri507	S		7	right now.	T,X,X,O,O,O,X,O,X,X,X,X, T,X,O,X,T,X,T,X,X,O,T,X,X,X, T,X,X,T, 
iri508	U		8	with whom?	
iri509	S		9	hello, everyone. matt.  this is danny, whom i told you about.	T,X,X,O,O,O,X,O,X,X,X,X, X,X,X,X,T,O,T,X,T,O,T,T,X,X, X,X,O,X, 
iri510	U		10	who is matt?	
iri511	S		11	yeah. about what?	O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O, O,X,T,O,T,O, 
iri512	U		12	what are you doing now?	
iri513	S		13	you said to leave. so i am outtie-	T,X,T,X,O,T,O,T,T,O,T,O,T,X,O,T,O,T,T,O,T,O,O,O, T,X,X,T,O,O, 
iri514	U		14	no do not leave! i love you!	
iri515	S		15	danny is out.	O,O,T,X,O,O,O,O,X,O,X,O,T,X,T,T,O,T,O,O,T,O,O,O, O,X,T,O,X,T, 
iri516	U		16	nooooo	
iri517	S		17	here! it is a fucking boy. anyone got a cigar?	O,T,T,T,X,T,O,O,T,O,X,O,T,X,T,X,O,T,O,O,X,T,T,O, X,X,T,O,T,T, 
iri518	U		18	who is the  wouldfucking boy would?	
iri519	S		19	shut up.  if you have to talk, just be vague. can you do that?	X,X,T,X,O,X,T,T,X,T,X,O,T,X,O,X,T,X,T,O,T,X,X,O, X,T,T,X,X,O, 
iri520	U		0	hi	
iri521	S		1	how is it going?	X,X,X,X,O,X,O,T,T,T,X,O,T,X,T,X,X,X,X,T,X,X,X,O, X,O,T,T,X,T, 
iri522	U		2	bad	
iri523	S		3	is he legit?	X,X,X,O,T,X,X,X,X,O,X,O,T,X,X,X,X,X,X,T,T,X,X,O, O,T,T,X,T,T, 
iri524	U		4	nope	
iri525	S		5	i know you do not want to hear it, trace, but you deserve better.	O,T,O,X,T,O,T,O,O,O,X,O,O,X,O,X,O,T,O,X,X,O,T,O, O,T,X,O,X,T, 
iri526	U		6	i guess so, but i am just so misserable	
iri527	S		7	i guess so.	O,T,O,O,X,O,X,T,O,O,X,O,X,O,O,X,O,T,O,T,T,X,T,O, O,O,T,O,X,T, 
iri528	U		8	this is horrible	
iri529	S		9	ooh, 124! this is me.	O,T,O,O,O,O,T,T,O,O,X,O,O,O,O,X,O,O,O,T,T,O,O,O, O,O,T,O,O,O, 
iri530	U		10	???	
iri531	S		11	to an asian design major.	T,X,X,X,O,O,T,O,O,O,T,X,X,X,X,X,O,T,O,O,T,T,X,O,T,T,O,T,T,X, 
iri532	U		12	what the hell are you talking about?	
iri533	S		13	you bastard! they will never let us back in that place.	X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O,T,O,O,X,T,X,X,O,T,X,T,X,T, 
iri534	U		14	that is why i am feeling so depress	
iri535	S		15	so am i.	O,O,O,O,O,O,T,O,O,O,T,O,O,T,O,O,O,O,O,X,O,T,O,X,O,T,O,X,X,X, 
iri536	U		16	we better forget about it ok	
iri537	S		17	well, maybe we would better forget about it, then.	T,X,X,T,O,O,X,O,X,T,X,T,T,T,X,X,O,T,O,O,X,T,O,X,O,T,O,O,X,T, 
iri538	U		18	yeha, there will be much better places to go in the future for us	
iri539	S		19	what places?	T,O,T,T,X,O,T,O,O,O,X,X,O,X,T,X,O,O,O,O,O,T,O,X,T,T,X,T,T,X, 
iri540	U		0	hello	
iri541	S		1	i forgot my hat.	T,X,O,T,X,T,T,O,O,O,T,T,X,X,T,X,O,X,O,O,T,T,O,X,T,T,X,T,T,T, 
iri542	U		2	where did you forget you hat?	
iri543	S		3	this is my brother-in-law, karl danny.	X,X,O,O,X,T,X,O,T,O,X,T,T,X,T,X,O,X,O,O,T,T,O,O,T,T,O,X,X,X, 
iri544	U		4	nice to meet you karl	
iri545	S		5	thank you very much.	X,X,X,X,X,X,T,O,O,O,X,X,X,X,X,X,O,T,O,O,X,T,X,X,T,T,X,T,T,X, 
iri546	U		6	you are welcome	
iri547	S		7	i got the whole ride programmed.	X,X,X,T,X,T,T,O,O,O,T,T,X,X,T,X,O,O,O,O,O,T,X,X,T,T,X,O,O,O, 
iri548	U		8	i see	
iri549	S		9	no cutting, by the way.	X,X,X,X,X,X,O,T,T,O,X,X,X,X,T,X,O,O,O,O,X,T,O,T,O,T,X,O,T,T, 
iri550	U		10	ok, sure	
iri551	S		11	do not leave this party until you hear from me.	X,T,T,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,T,O,X,X,X,X,X,X,T,X, 
iri552	U		12	ok, fine!	
iri553	S		13	i am fine, just keeping packing.	X,X,T,T,X,T,O,X,X,O,O,T,O,X,X,X,X,X,T,O,X,O,X,T,X,X,X,O,X,X, 
iri554	U		14	are you moving out?	
