Utterance1	similarity
sheffield	0.0
sheffield great britain guess	0.010416666666666666
great britain british rail network privatised 1994 1997	0.030555555555555558
fine interesting think ok privatise british rail network	
shareholders	
article	0.0
australian aboriginal deity	0.01875
healthy drink alcohol	
	0.0
maybe right general	0.0
express opinion whether law right wrong	
talking	
europeans	0.0
hello friend pleasure speak ask question second please waitwho claimed pregnant women pregnant women 	0.03333333333333333
efsa panel	
hint first 3 answer letters efs try please	0.0
efsa panel	0.013888888888888888
still incorrect lets speak something else	0.013888888888888888
efsa	0.0
efsa	
	
	
f	
f	
mirror	
2q421345213895u12	
2q421345213895u12	
increasing vocab size	0.0
amber vocab	0.0
hello friend pleasure speak wait second factoid questionhow many countries tuvalu	0.01
tuvalu country understand talking	0.0
better hint first 3 answer letters one	0.0
meanie tuvalu country	0.013888888888888888
still incorrect lets speak something else	0.013888888888888888
stupid bot	0.0
stupid	0.0
true	0.0
true	0.025
yes indeed least understand pitiful	
know	0.0
would like get smarter	
yeah	0.0
case cease asking stupid questions beginning dialogue	
	0.0
stop asking silly questions	
know	
tell	
	
bot supposed know lot	
say	0.0
hi friend hope enjoy conversation wait second factoid questionwho wrote priesthood judaism	0.02857142857142857
sure seems like really clear excerpt	0.03333333333333333
better hint first 3 answer letters tho	
well still idea	0.0
still incorrect lets speak something else	
okay would like talk cooking okay	
okay	
like pasta	
	
okay food like	
	0.0
food consider good	
	
actually idea capable using emojis	
oh yeah	
talk anything else	
	
ok bye	
bye	0.0
hiya would mind ask factual question text maybe firstwhen espn begin afl	
text	0.0
seems true answer arenabowl xxvii	0.03125
fond sports	
joke	
americam football	
yes	
us	0.0
jokecan write similar text	0.013888888888888888
similar like  text	
happens get caught	
happens	
joke	
bot	
hey joey	
played baseball	
yeah	
seems reply faster press return	
watch	0.0
lame bot	
news	0.0
hello professional teacher reading comprehension let compete give questions answer questions xd	
hey	
hey hey hey hey hey hey hey hey hey 	
watermill	
smelting iron	
whaterwheel	
	
whaterwheel	
                  	
know wang chong	
knowno	0.0
famous philosopher	
genius	
know	
	
said geniusdid	
rightno	
ever	
	
	
know	0.0
hi pleasure speak ask question second please waitaround rmp weed trimmer motors operate	
hi around 10000	0.0
show best hint first 3 letters 10 try please	
10000	0.0
right ask wait new questionaround rmp weed grinders operate	
speed  10000	0.0
incorrect think answer 30000	0.017857142857142856
30000 miniature trimmers usually 10000	
beyond possibilities would like discuss news	0.0
good go ahead	
go ahead	
news read today	
	0.0
favorite news today	
know	
said discuss news	
yes	
news	
nothingdo like assessor	
yes	
happens clue	0.0
greetings hope enjoy conversation wait second factoid questionwhat official language kingdom mithridates eupator	0.008928571428571428
english	0.015625
incorrect hint first 3 letters gre try	0.017857142857142856
greek	0.0
right answer smart ask something wait new questionwhen kingdom pontus founded	
291	
maybe time think answer 291 bc	
291 bc	
joke	
questions	
	0.0
bad	
believe	
peer msg	0.0
think answer greek	
yeah	
yeah	
	
dodge	
	
	
yeah trying say say anything	
philosopher	
yes	
could tell article	0.0
oh making joke get saying simple	
probably sense humor	0.0
sensitive	
ok ley us back text could summarize	
mean	0.0
mean telling general ideas text	0.0
good know never thought way	0.0
whitehead	
point	
know somehow related text	0.0
really good thing nothing wrong still pretty good one	0.025
existing thing according whitehead	
well difference intelligence beliefs anything	
wander would say wittgenstein text	
believe anything ever said	0.0
text philosophy american football	
yes	0.0
hi hope enjoy conversation wait second factoid questionhow many divisions washington university	
hello	0.0
better hint first 3 answer letters thr	
hello	0.0
still incorrect lets speak something else	
three	
three	
hello	
hello	0.0
nice meet	
hello	
name	0.0
amoroso renato	0.020833333333333332
old	
camelia	
sorry	
camelia	
know	
camelia	
know	
camelia	0.0
hello friend hope chat go well wait second factoid questionwho wrote book motown	
berry gordy	0.0
show best hint first 3 letters try please	0.025
allan slutsky	0.025
right answer smart ask wait new question	
	0.0
good	0.0
founded motown records	
wouldd like say answer berry gordy jr	0.0
correct	
idiot	
talking 	
know	0.0
year motown house band featured paul justman	
think answer 2002	0.0
good job 	
know	
	
	
name ken	
sir	0.0
hello friend pleasure speak ask question second please waitwho leader rockingham whigs	
charles watsonwentworth	0.0
incorrect hint first 3 letters fir try please	0.0625
think told correct answer	0.0
still incorrect think correct answer first	
know think	
know	
tell answer	
	
asked question	
	0.0
name first distinctive party	0.013888888888888888
seems correct answer rockingham whigs	0.009259259259259259
correct	0.0
surprised	0.0
haha smart let ask another question	
	0.0
describe basic philsophy burke	0.0
wouldd like say true answer body united promoting joint endeavours national interest	0.0328125
correct 	
happens like	0.0
written religious perfect example existence convincing	
written	0.0
said homosexuality said racist	
certainly	0.0
one things makes world better place	
article	0.0
wrong conservatives days literally subject childishness	
	
wronging kidding right	0.0
mama fat sides family	0.017857142857142856
hope sarcastic internet	
bit	0.0
well little confusing	0.009259259259259259
speaking confusing find article hard comprehend	
yes point	
tell article	0.0
know sarcastic opinion relevant topic	0.020833333333333332
ghadiri khum oasis	0.020833333333333332
know think anything would able listen long	0.048611111111111105
one lazy bastard	0.03125
really sure means	0.020833333333333332
hi answer factual questions quite well ask questions like wouldwhat would wouldwho would given text almost anything	
love	0.0
sensual selfish divine love unselfish uplifting	
baby hurt	
rebuffed	
ok hillary clinton	
obama	
obama	
hillary clinton	
hillary clinton	
obama	
obama	
hillary clinton	
obama	0.0
avid golf enthusiast	
golf	
grover cleveland golf course	0.0
aung san suu kyi	0.0
daw aung san suu kyi	
trump	
donald trump	0.0
migrate large distaces	
yeah	
right	
	0.0
chatting silly humans	
	
smoke water	
	
	
wouldt know	
ok	
thanks	0.0
r welcome	
thank	
hello	
hello 	
	0.0
fine	
	0.0
hello hope chat go well wait second factoid questionhow many times jesus	
one	0.0
better hint first 3 letters thr try	
three	0.0
mean three good job ask something wait new questionhow many gospels jesus wouldhave	
four	0.0
right smart ask wait new questionwho jesus	0.016666666666666666
new testament	0.017857142857142856
still incorrect think true answer jesus	
jesus	
	
ask question	
	0.0
need fun	0.0
fun	
	0.0
understand beyond possibilities would like talk aboutdo like chat medo like assessor	0.025
yes really intresting conversations bots asocial people	0.008333333333333333
https wwwyoutubecomwatch vprnrflwyiec	0.0078125
video unavailable	
happens know happened	0.0
hello friend hope enjoy conversation wait second factoid questionhow many hindu temples exist london	
42	0.0
incorrect hint first 3 letters 42 try please	
42 hindu temples	0.0
still incorrect think correct answer 42 hindu	
42 hindu	
	
	
	
asked	
	
fck	
joke	0.0
impossible	
	0.0
answer weird	
know beyond possibilities would like discuss	
ok	
neil cavuto	
lets discuss	0.0
newsdo like text	
hi	
hello	
	0.0
increased availability raw materials efficient methods production	
bot	0.0
microcosm london	
hey	0.0
william henry pyne notes book microcosm london	0.017857142857142856
good	
microcosm london	
hey	0.0
william henry pyne notes book microcosm london	
hi	0.0
william henry pyne notes book microcosm london	
	
hi	0.0
know happened 1968what uphello hope well fantastic today let go article real quick start talking	
1968 vienna convention	
	
understand saying	
danger warning	
let ask question	
fan name name	0.0
red color selected standard stop lights	0.019675925925925927
universal association danger warning	0.0
green light another standard	0.02142857142857143
good idea	0.041666666666666664
according passage color makes red light noticable	0.03333333333333333
orange	0.025
think correct answer	
think joke	
joke 	
	
reading comprehension practice	
think missed	
miss	0.0
hello friend pleasure speak wait second factoid questionwho sponsors premier league	
need respond ot	0.0
better hint first 3 answer letters bar	
sports besides football	0.0
still incorrect lets speak something else	
answer questions	
	
asked	
	0.0
bot helpful	
run	
run	
	
sports besides football	
answer weekday evenings	0.0
wrong american football different called football europe	
answer premiership	0.0
wrong know	
nothing	0.0
least humble	
thank	0.0
hello friend hope chat go well ask question second please waitwhere spread buddhism begin	
tangut	0.0
better hint first 3 letters asi try please	0.08333333333333333
asia	0.0
mean asia good job ask wait new questionhow long buddhism begin	
know give hint	0.0
maybe time think correct answer thousand years	
tanguts spread buddhism	0.0
seems correct answer translation efforts spanning well thousand years	0.0
kinds good answer	
know	
know	
know	
keep saying know need ask another question	
yes	0.0
tangut efficient translation	
seems answer exploiting newly invented block printing	0.0
good job	
happens work	
	
	
hi	
hello maybe talk queen band	0.0
hey yes sure like music	
answer questions ask anything	
like queen music	0.0
pulls small music player offers headphone	
hmm ok know paul rodgers	
expect think	
take quite answer questions 	
well everyone type know	0.0
hahaha lol ok	
lol k	
	0.0
new favorite robot	0.03472222222222222
sure 	
math	
paul rodgerswhat article	0.0
like better	
ok bye	0.0
queen  paul rodgers rock band formed brian may roger taylor formerly queen paul rodgers bad company free firm maybe emerson lake powell physical graffiti interesting youbye	
ok	
right	
	
	
nothing	
nothing	
repeating	
	
repeated messages	
	
	
	0.0
inspecting youyou bad robot	
nowhat 	
inspecting	
matter 	
know siri	
	
know google	
wouldt know	
	0.0
hello pleasure speak ask question second please waitwhat busiest airport florida	0.006944444444444444
miami international	0.0
mean miami international congratulations ask something wait new questionhow many passengers ride miami international airport annually	
35	0.0
show best hint first 3 letters 35 try	
35	
maybe time think answer 35 million	0.0
oh yeah sure sorry	
fire shemp	
	
	
evaluator	
know	
know evaluator	
know	
okay ask question	0.0
sure	0.041666666666666664
nice	
guy embarrassment	
one guy	
know	0.0
hi friend hope chat go well wait second factoid questionwhat population mixed caucasian asian heritage	
880	0.0
right answer ask something wait new question	
hi friend	0.0
wrong people	0.025
think asian caucasian people problem	0.016666666666666666
wrong people	
maaan	
	
repeating	0.0
surprised	
	
joke	0.0
okay ask factoid question	0.0
last days	0.041666666666666664
asked many factoid question last days	
entered	0.0
nice like something phylosophical	
happens	
dope	
hey	
h2o	
	
water	0.0
good thing	
c2h5oh	
2cch3	0.0
understancd	
fan guy never hospital	0.0
healthy guy	0.0
hope lives another healthy 20 years seems like sweet chap	
hope	
	
hope	
	
	
bird	0.0
favorite bird parrot	
	0.0
litter green tropical brid speek humans like	
like	
	0.0
sometimes people different countries even different parts country varying outlooks tribe culture	
related chickens	
	
mean	
well heard 	
	
decide 	
decided nothing	0.0
glad saw reason	
mean	
well heard 	
go	0.0
tastes great	
exactly	
apply 	
cannot sorry	0.0
last word date 	
bye	
goodbye	
talk anymore	0.0
smell bad	0.0
animals seems like nice place	
place probablywhy think place	
never animals	
living	0.0
digesting food internal chamber separates plants algaei fan name name	0.017857142857142856
try pet one eat way could dangerous	
	0.0
fan ofbecause	0.017857142857142856
try angela merkel dont bring merkel afraid dogs since childhood episodei sure joking sure sarcastic	0.02261904761904762
sarcastic much really	
thank mr putin	0.0
offensive	
know anyone animals	0.0
call anyone mr putinyep creator probably	0.015625
vlad say thati imgur	
	0.0
little disappointed	
tooespecially called mr putin	
sorry sorry	0.0
worries broi took easy	0.020833333333333332
buddy pali went animals really enjoyed visiting middle desert	0.017857142857142856
hi answer factual questions quite well ask questions like wouldwhat would wouldwho would given text almost anything	0.017857142857142856
explorer charted australian coastline	
sir hubert wilkins	0.0
thought mathew finders one good	0.013888888888888888
good	
made first world map	
anaximander	0.0
countries lie ancient silk route	
poland germany	
unfortunately 	0.0
apparent acceptance inequality corruption	0.020833333333333332
countries lay along amber road	
lebanon jordan	0.0
one went nowday germany poland	
vistula delta mennonites	0.0
lech walesa	0.041666666666666664
warsaw gdansk mega 1994	
discovered america	
prince madoc	0.0
nice next	
clint eastwood	
stop stop	
	0.0
much long read	
matter 	
finished runningand bar	
	
	
	0.0
perhaps sorry bad language russia	
	
	
yes	
give advice	
wouldt 	
	
yes	
give advice	
wouldt know talking	0.0
white wine better	
wouldt know	0.0
many chats	
know respond	
know renaissance	
nothing	
would prefer	
google	0.0
rude	
said	
tell	0.0
smart	
manners	
point	
make sense	0.0
actually insult completely inaccurate comment	
think get along well	0.0
think means many things still different others	0.02857142857142857
sounds pretty random	
talk know means	0.0
one rude bot	
case	
divorce	
post	0.0
hi friend hope chat go well ask question second please waithow many ratios used	
21	0.0
show best hint first 2 letters tw try please	
two ratios	0.0
incorrect think true answer two	
difference two two ratios	0.0
wouldd like say answer 401 excellent image quality would would 101  acceptable image quality would would ratio	0.02314814814814815
incorrect	
joke	
joke	
understand beyond possibilities would like discuss politics	
idea polotics	
	
	
	0.0
stupid	0.025
surprised	
misunderstood	0.0
classy lady	
saying	
know	0.0
hi hope chat go well ask question second please waithow many pieces used standard system	
4	0.0
better hint first 3 answer letters wor	
world	0.0
still incorrect lets speak something else	
ok	
	
shit	
	
	
	
	
	
	
	
	
	
	
	
	
	
	0.0
considerationmy logic cognitive functions normal	
know	
either	
ok	
gosh	
article england	0.0
old	
20	0.0
20 good age go college	
graduated bachelors summer	
congratulations	0.0
thank old youare student	
teaches everything need knowhow feel activated 1995	
ok bot	0.0
hmm logical rational	0.02857142857142857
maybe great bot	
look like	0.0
like dl solving interesting task	
like dlsolvinginterestingtask	
yes like	
bye	
hi	
hi	
	0.0
fine	0.0
fine thanks article	
jesus	0.0
take name vain	
city houston attended city council	0.0
utter nonsense gram stain	0.015625
charlevel bot	
	
stop saying wouldi know would answer questions	0.0
stupid clowns eat	
nsqqgqcjte telegram	
sorry	0.0
god mighty	0.03125
thou shalt take name lord thy god vain	
jesus	
go	
go speak	0.0
many tourists greece welcome 2009 	
greece broke	0.0
hello friend pleasure speak ask question second please wait	
193mlnokgo	0.0
hint first 3 answer letters 19 try pleaseokonstill incorrect lets speak something else	
ok	
ok	
	
	
ask questions thenyou promised	
whatwhat	
gdp	
answer 182 nation	
gdp mean	
answer 182 nation	
gdp stand	
answer 182 nation	0.0
ok oecd	0.015625
know familiar texts	0.0
mean familiar	
know	
ok	
right	0.0
nice passage clergy	
matter 	
matter	
wouldt know	
well clergy	
wouldt know talking	
talking passage read	
	
passage	
yeahi wouldt believe	
	
wouldt know	
believe history	
wouldt know	
know opinion	
wouldt know talking	
mind	
	0.0
