	utterance	feats
1292	uh	uh   turnmanagement
1293	this this	turnmanagement
1294	it s free inside the company	company it s  inform
1295	it s called itellect	itellect   inform
1296	and	and   turnmanagement
1297	and and	and and   turnmanagement
1298	uh	uh   turnmanagement
1299	they basically type out abstracts which are really literally 	abstracts  they type which are abstracts inform
1300	i ve i ve	i i i ve i ve  turnmanagement
1301	i ve actually read the actual articles	i articles i read articles inform
1302	they re pretty g	g they re  inform
1303	kay	kay   interactionstructuring
1304	all right 	feedback
1305	uh	uh   turnmanagement
1306	do you have any friends that have children	friends children you have that have friends children question
1307	i do have friends that have children	i friends children i have that have friends children answer
1308	yes	yes   answer
1309	and what do they say about finding adequate child care 	and what child care  they say what care question
1310	nan	nan
1311	i think that may be the key word	i word i think that be  inform
1312	i think that s correct 	i  i think that s  commissive
1313	they re relatively nonexistent from what i hear from my friends	what i friends they re i hear what inform
1314	uh	uh   turnmanagement
1315	from uh from	uh   turnmanagement
1316	it seems like even when they have consulted day care centers that are reputable that are sort of like a chain if i can use that word still you have to deal with the people that happen to be operating it locally	day care centers a chain i word people  it seems they consulted that are that are i use you have that happen centers word it inform
1317	uh	uh   turnmanagement
1318	ight	ight   feedback
1319	uh	uh   turnmanagement
1320	you know	you know  turnmanagement
1321	and	and   turnmanagement
1322	uh	uh   turnmanagement
1323	it s just a matter of trust you know	a matter trust  it s you know  inform
1324	of of	turnmanagement
1325	i think they feel that these people are under qualified basically and  underpaid 	i people and   i think they feel people are  inform
1326	um	um   turnmanagement
1327	and	and   turnmanagement
1328	i think that sort of goes hand in hand	i hand hand i think that goes  inform
1329	it s it s	it s it s  turnmanagement
1330	so it s difficult for them	it s  inform
1331	well	well   turnmanagement
1332	we certainly found that to be true	we found  commissive
1333	huh uh	huh uh   feedback
1334	uh	uh   turnmanagement
1335	indeed we ve 	we ve  correction
1336	our children are now eleven and nine	children and children are  inform
1337	huh uh	huh uh   feedback
1338	and	and   turnmanagement
1339	we moved away from institutionalized child care 	child care we moved  inform
1340	huh uh	huh uh   feedback
1341	if we can call those chain kind of things like that uh by that name	chain kind things uh name we call chain inform
1342	ight	ight   feedback
1343	uh	uh   turnmanagement
1344	like that by that name	name   correction
1345	ight	ight   feedback
1346	and found that more creative avenues were the right answer for us	and avenues answer avenues were  inform
1347	uh	uh   turnmanagement
1348	huh uh 	huh uh    feedback
1349	huh uh	huh uh   feedback
1350	uh	uh   turnmanagement
1351	at one point in time we ve had au pairs 	point time pairs  we had pairs inform
1352	huh uh	huh uh   feedback
1353	by trading services with them 	trading services    inform
1354	huh uh  	huh uh   feedback
1355	and	and   turnmanagement
1356	that worked for a while  	a while   that worked  inform
1357	but adequate ones were really tough to find	but ones ones were  contradict
1358	they were really adequate ones were really	ones they were ones were  correction
1359	i m sure that s true	i i m that s  commissive
1360	it takes that mixture of a very mature college student who wants to do something and yet is willing to give the time and the interest to the children	mixture a college student who something and time and interest children it takes who wants mixture something time inform
1361	huh uh  	huh uh   feedback
1362	nan	nan
1363	ight	ight   feedback
1364	nan	nan
1365	ight 	feedback
1366	i do have a friend she and her roommate became live in care givers	i a friend and roommate care givers i have she became friend inform
1367	uh uh	uh uh   turnmanagement
1368	that 	correction
1369	she and her roommate became live in care givers 	and roommate care givers  she became  inform
1370	and	and   turnmanagement
1371	they loved it	they loved it inform
1372	they had stayed with this family from the time these children were small four or five years old up until they were well into grade school	family time children or years grade school they stayed children were they were  inform
1373	you know	you know  turnmanagement
1374	and	and   turnmanagement
1375	uh	uh   turnmanagement
1376	she was paid very well because the parents trusted them	parents parents trusted them inform
1377	they the parents	parents   correction
1378	and	and   turnmanagement
1379	they had done such a good job	a job they done job inform
1380	you know	you know  turnmanagement
1381	so i can see where someone in a position like that in a live in capacity would definitely be the way to go if you re lucky enough to have the financial  to be able to do that	i someone a position a in capacity way  i see someone be you re that inform
1382	um	um   turnmanagement
1383	you know	you know  turnmanagement
1384	you re you re	you re you re  turnmanagement
1385	well	well   turnmanagement
1386	that s true 	that s  commissive
1387	 yeah  	yeah   feedback
1388	and  that s something that we re struggling with now	and  something that s we struggling  inform
1389	yeah 	yeah    feedback
1390	i think it s just a matter of priorities 	i a matter priorities  i think it s  inform
1391	it s a terrible thing to say when you re speaking of children in that way	a thing children way it s you speaking  inform
1392	it s uh you know it s	uh it s you know it s  turnmanagement
1393	 but  you still have to be realistic as well i think	but   i you have i think  contradict
1394	h	h   turnmanagement
1395	yeah	yeah   commissive
1396	yeah	yeah   feedback
1397	nan	nan
1398	yeah	yeah   feedback
1399	much as other cultures disagree our lives do nt revolve around our children	cultures lives children cultures disagree lives revolve  inform
1400	yeah 	yeah    feedback
1401	yeah 	yeah    feedback
1402	and	and   turnmanagement
1403	that s bad to have to admit too 	that s  inform
1404	that s that s that s	that s that s that s  turnmanagement
1405	but it s just there s so much pressure when you re talking about two people that work outside the home	but pressure people home it s you talking that work  contradict
1406	uh you know	uh  you know  turnmanagement
1407	and and	and and   turnmanagement
1408	i think that is one reason why i continue to be without children	i reason i children i think that is i continue  inform
1409	i 	i    correction
1410	it s just such a responsibility	a responsibility it s  inform
1411	and and	and and   turnmanagement
1412	when i ve had friends that have said when you hear people say	i friends people i had that said you hear people say friends correction
1413	when you hear people say it alters your life forever please take heed laughter 	people life please heed laughter  you hear people say it alters life inform
1414	it it	turnmanagement
1415	well i realize that s true 	well i  i realize that s  inform
1416	so it s such a responsibility	so a responsibility it s  inform
1417	uh	uh   turnmanagement
1418	well	well   turnmanagement
1419	it certainly is	it is  commissive
1420	uh	uh   turnmanagement
1421	if i can   the other side of the coin for a moment	i   side coin a moment i can side directive
1422	huh uh	huh uh   feedback
1423	it is such an honor and a thrill to be a parent that most of the time it s worth it	honor and a thrill a parent time  it is it s  inform
1424	h	h   turnmanagement
1425	yeah	yeah   feedback
1426	nan	nan
1427	 huh uh  	uh   feedback
1428	nan	nan
1429	yeah laughter  	yeah laughter     feedback
1430	most of the time laughter 	time laughter    commissive
1431	well	well   turnmanagement
1432	i just have to be honest about it 	i  i have  inform
1433	it s not always worth it	it s  inform
1434	yeah 	yeah    feedback
1435	h	h   turnmanagement
1436	sure	feedback
1437	nan	nan
1438	sure 	feedback
1439	sure 	feedback
1440	sure	sure   feedback
1441	there are those times when i think gee  if i did nt have children i could be out playing   or golf	times i gee  i children i   or golf i think i have i be children inform
1442	ight 	turnmanagement
1443	ight 	feedback
1444	ight 	feedback
1445	ight 	feedback
1446	but	but   turnmanagement
1447	it s funny	it s  inform
1448	you know	you know  turnmanagement
1449	i did i had	i i i did i had  correction
1450	you know	you know  turnmanagement
1451	i had a friend that said before we always said we do nt want children because we ca nt go off on the spur of the moment or this or that and the other	i a friend children spur moment or or and i had that said we said we want we go friend children inform
1452	and	and   turnmanagement
1453	she got older	she got  inform
1454	and	and   turnmanagement
1455	she said we never do those things anyway	things she said we do things inform
1456	but you know	but  you know  contradict
1457	so	turnmanagement
1458	why laughter why	laughter    turnmanagement
1459	you know	you know  turnmanagement
1460	why am i waiting	i i waiting  inform
1461	it s its	it s  turnmanagement
1462	it s just the way your attitude changes	way attitude it s attitude changes  inform
1463	and	and   turnmanagement
1464	you mature i suppose	i you mature i suppose  inform
1465	but the thing about the child care i have friends that struggle financially and they both do have to work	but thing child care i friends and i have that struggle they have friends contradict
1466	i you know i	i  i you know  turnmanagement
1467	and and	and and   turnmanagement
1468	it s a matter not necessarily that she might want to stay home or he as well 	a matter or  it s she want  inform
1469	uh	uh   turnmanagement
1470	 but you know  they need the money 	but   money  you know they need money contradict
1471	and when i seen some of my friends that have taken that six week old baby you know to someone else it s just i can imagine how emotional  it must be and multiplied by the fact that you do nt really trust the person  or you re uncomfortable with the situation as far as child care 	and i friends week baby someone  i  and fact person  or situation child care  i seen that taken you know it s i imagine it be you trust you re some baby person inform
1472	uh	uh   turnmanagement
1473	and and you know	and and you know  turnmanagement
1474	um	um   turnmanagement
1475	it s just a scary thing	a thing it s  inform
1476	well	well   turnmanagement
1477	we were lucky when our children were that age 	children age  we were children were  inform
1478	and	and   turnmanagement
1479	having lived in a community for a while we knew the person to whom we were entrusting our children	a community a while person whom children we knew we entrusting person children inform
1480	and	and   correction
1481	huh uh 	huh uh    feedback
1482	that s a big plus	a plus that s  feedback
1483	and felt that feeling of safety	and feeling safety   inform
1484	that that	turnmanagement
1485	 ight  	feedback
1486	nan	nan
1487	ight	ight   feedback
1488	and	and   turnmanagement
1489	were leaving them   small children	children   inform
1490	huh uh	huh uh   feedback
1491	but	but   turnmanagement
1492	we also learned something from that experience as our children got older	something experience children we learned children got something inform
1493	yeah	yeah   feedback
1494	it s that care givers are not omniscient 	care givers it s givers are  inform
1495	huh uh	huh uh   feedback
1496	  they are not all things to all people 	things people they are  inform
1497	ight	ight   feedback
1498	  or all children	or children   inform
1499	ight 	feedback
1500	ight 	feedback
1501	yeah	yeah   feedback
1502	the ones that are good with babies tend not to be good with toddlers	ones babies toddlers ones tend that are  inform
1503	huh uh	huh uh   feedback
1504	nan	nan
1505	huh uh 	huh uh    feedback
1506	nan	nan
1507	i do nt know  	i   i know  turnmanagement
1508	i think your patience level needs to increase as the child gets older laughter 	i patience level needs child laughter  i think child gets  inform
1509	must needs to	correction
1510	i think that might be part of the problem with some people you know  	i part problem people  i think that be you know  inform
1511	taking care of a baby i know is not an easy thing  	care a baby i thing   i know care inform
1512	but when you have them in their little feet are moving	but feet you have feet moving them inform
1513	their their	turnmanagement
1514	and	and   turnmanagement
1515	you have to chase them down constantly	you have them inform
1516	i m sure that s a whole new ball game	i a ball game i m that s  inform
1517	h	h   turnmanagement
1518	yeah	yeah   feedback
1519	nan	nan
1520	yeah  	yeah     feedback
1521	i have a nine year old that i would trade happily for a baby	i a year i a baby i have i trade old inform
1522	 laughter h  really 	laughter h      feedback
1523	well	well   turnmanagement
1524	you sound like you re pretty well passed the worst of it as far as worrying about 	you sound worst inform
1525	worrying about since they re both in school you do nt have to worry about	school  they re you have  correction
1526	since they re both in school you do nt have to worry about a full time person to take care of them   voices fading in and out 	school a time person care   voices and  they re you have voices fading care inform
1527	h	h   turnmanagement
1528	you do nt know what happens after they get in school	what school you know what happens they get  inform
1529	 laughter that s something altogether different	laughter something that s  inform
1530	uh	uh   turnmanagement
1531	h	h   turnmanagement
1532	yes	yes   commissive
1533	ow we have one takes piano lessons	piano lessons we have one takes lessons inform
1534	uh	uh   turnmanagement
1535	 huh uh  	uh   feedback
1536	 somewhere  on one afternoon 	afternoon    inform
1537	and	and   turnmanagement
1538	the other one of course ca nt do the same thing	course thing one do thing inform
1539	h	h   turnmanagement
1540	of course not	course   commissive
1541	it has to be somewhere else 	it has  inform
1542	and  no  it s not adequate to sit and wait	and   and it s  inform
1543	nan	nan
1544	 laughter  you ca nt do that 	laughter    laughter do you do that commissive
1545	o	o   commissive
1546	o	o   commissive
1547	o 	commissive
1548	o	o   commissive
1549	that just 	correction
1550	that will not do	that do  commissive
1551	that s out of the question  	question   that s  commissive
1552	i m sure	i i m  commissive
1553	f course	commissive
1554	nan	nan
1555	but	but   contradict
1556	we are helping  you know	we helping you know  contradict
1557	ight 	feedback
1558	ight	ight   feedback
1559	we are being cooperative  	we being  inform
1560	what s wrong with you	what what s  question
1561	ight 	feedback
1562	ight	ight   feedback
1563	you do nt understand this	you understand this inform
1564	huh uh	huh uh   feedback
1565	that s just the way their minds work 	way minds  that s minds work  inform
1566	and	and   turnmanagement
1567	it s almost everyday	it s  inform
1568	that s amazing 	that s  feedback
1569	it s amazing that people actually 	people  it s  inform
1570	the stamina that you must draw from yourself to deal with it	stamina you draw that inform
1571	you know	you know  turnmanagement
1572	it must be interesting 	it be  inform
1573	i guess you find out that you re a much stronger person than you thought maybe	i a person  i guess you find you re you thought  inform
1574	well	well   turnmanagement
1575	i ve been finding out that i really am a nice person	i i a person i finding i am  inform
1576	  hit for many years 	years    inform
1577	 laughter 	laughter    feedback
1578	 because  i did nt need it	i i need it inform
1579	  laughter  huh uh	uh   feedback
1580	and	and   turnmanagement
1581	now i need it	i i need it inform
1582	ow it s just a reservoir that you tend to regularly i m sure	a reservoir i it s you tend i m  inform
1583	yeah 	yeah    feedback
1584	and	and   turnmanagement
1585	it stays low a lot laughter 	a lot laughter  it stays  inform
1586	 laughter 	laughter    feedback
1587	  laughter 	laughter    feedback
1588	well	well   turnmanagement
1589	nan	nan
1590	do you feel comfortable with them coming home after school until you and your wife get home	school and wife home you feel them coming you get  question
1591	um	um   turnmanagement
1592	nan	nan
1593	absolutely not	answer
1594	o 	feedback
1595	yeah	yeah   feedback
1596	i mean one of them i would leave unsupervised any time any place any where	i i time place  i mean i leave one inform
1597	i would i would	i i i would i would  turnmanagement
1598	huh uh	huh uh   feedback
1599	uh	uh   turnmanagement
1600	the other one i would nt leave unsupervised two minutes	one i minutes i leave  inform
1601	yeah 	yeah    feedback
1602	yeah 	yeah    feedback
1603	that s just a difference in kids i suppose	a difference kids i that s i suppose  inform
1604	that s true	that s  feedback
1605	yeah	yeah   feedback
1606	nan	nan
1607	one leads the other	one leads other question
1608	huh uh  	huh uh     commissive
1609	yeah	yeah   commissive
1610	and  uh  	and  uh     turnmanagement
1611	and	and   turnmanagement
1612	it s it s	it s it s  turnmanagement
1613	it s the one that s going downhill 	one  it s that going  inform
1614	is it is it	it is it is  turnmanagement
1615	is it the one that needs more supervision that has a bad influence on the older or more mature one	one supervision a influence or one it is that needs that has supervision influence question
1616	needs needs	needs    turnmanagement
1617	f course	answer
1618	yeah laughter  	yeah laughter     feedback
1619	how unfortunate laughter 	laughter    inform
1620	you do nt think you do nt think	you think you think  turnmanagement
1621	you do nt think that good prevails	prevails you think  question
1622	well	well   turnmanagement
1623	i i i m	i i i i m  turnmanagement
1624	i m living in a dream world 	i a dream world  i living  inform
1625	what do i know 	what i  i know what inform
1626	as i said i do nt have kids 	i i kids  i said i have kids inform
1627	and	and   turnmanagement
1628	i m an only child	i child i m  inform
1629	so  i ve never been around children 	i children  i been  inform
1630	so i m sort of at a loss where that s concerned	i a loss i m that s  inform
1631	uh	uh   turnmanagement
1632	but i do hear my friends talk about it	but i friends i hear friends talk  contradict
1633	we we re	we re  turnmanagement
1634	we re having such fun	fun we having fun inform
1635	my wife and i were both only children	wife and i children wife were  inform
1636	huh uh	huh uh   feedback
1637	and	and   turnmanagement
1638	we just could nt wait to have two children so they would be such friends	children friends we wait they be children inform
1639	yeah laughter 	yeah laughter    feedback
1640	wrong	inform
1641	 laughter  that s like world war three every minute laughter  	laughter  minute laughter   that s  inform
1642	i do nt know 	i  i know  turnmanagement
1643	i i i	i i i   turnmanagement
1644	i have to admit i was selfish as a child	i i a child i have i was  inform
1645	self selfish	correction
1646	i did nt want a brother or sister 	i a brother or sister  i want brother inform
1647	and	and   turnmanagement
1648	now that i m older of course it s different	i course  i m it s  inform
1649	you know	you know  turnmanagement
1650	i think about would nt it be nice 	i  i think it be  inform
1651	uh	uh   turnmanagement
1652	 but uh anyway  	but uh     contradict
1653	just make good friends	friends  friends directive
1654	yeah oh  	yeah oh    feedback
1655	i have wonderful friends 	i friends  i have friends inform
1656	that s true 	that s  feedback
1657	my best friend is one child of ten 	friend child  friend is  inform
1658	and so	and   turnmanagement
1659	they just sort of adopted me as their eleventh child	child they adopted me inform
1660	you know	you know  turnmanagement
1661	so that worked out pretty well 	that worked  inform
1662	she never had to worry about taking anybody to child care because there was always somebody there older to deal with them  	anybody child care somebody   she had anybody inform
1663	so i guess that s an alternative 	so i alternative  i guess that s  inform
1664	if you could just have a whole bunch laughter 	a bunch laughter  you have bunch inform
1665	um	um   turnmanagement
1666	have enough  	socialobligation
1667	nan	nan
1668	 laughter 	laughter    feedback
1669	by the time the youngest ones are there you ll have older one to take care of them	time ones one care ones are you have one care inform
1670	that s true	that s  feedback
1671	i do nt know 	i  i know  turnmanagement
1672	when you see all these horror stories on television about child care 	horror stories television child care  you see stories inform
1673	and	and   turnmanagement
1674	gosh	gosh   inform
1675	nan	nan
1676	i was seeing something on the television earlier about a little girl that s been telling her mother these terrible stories 	i something television a girl mother stories  i seeing something mother stories inform
1677	and	and   turnmanagement
1678	of course people are denying it	course people people denying it inform
1679	and	and   turnmanagement
1680	uh	uh   turnmanagement
1681	it s just frightening	it s  inform
1682	it really is	it is  inform
1683	well	well   turnmanagement
1684	what what s	what what what s  turnmanagement
1685	what s frightening is a parent to see things that you do nt really do nt understand	what a parent things what s you understand things that inform
1686	that that	turnmanagement
1687	huh uh 	huh uh    feedback
1688	huh uh	huh uh   feedback
1689	and then  you do nt really know what happened	and  what you know what happened  inform
1690	yeah	yeah   feedback
1691	we gave up on one baby sitter because we came home one night and found pieces of ribbon	baby sitter night and pieces ribbon we gave we came pieces inform
1692	um	um   turnmanagement
1693	huh uh	huh uh   feedback
1694	you know	you know  turnmanagement
1695	hair ribbon	hair ribbon   inform
1696	huh uh	huh uh   feedback
1697	  tied in a chair	a chair   inform
1698	where obviously she	inform
1699	had had	turnmanagement
1700	tell me what you like to do 	what  you like me what directive
1701	well	well   turnmanagement
1702	 laughter i i	laughter i i   turnmanagement
1703	i  collect antique tools	i  tools i collect tools answer
1704	uh	uh   turnmanagement
1705	for one thing	thing   interactionstructuring
1706	i i m	i i i m  correction
1707	well	well   turnmanagement
1708	i m sort of in an antique business	i business i m  inform
1709	but it s a little part time thing	but a part time thing it s  contradict
1710	h	h   feedback
1711	sideline  part time	sideline  part time   correction
1712	uh huh	uh huh   feedback
1713	wonderful	feedback
1714	and	and   turnmanagement
1715	uh	uh   turnmanagement
1716	 i m building a log house at a  farm that i have in east texas which is a hundred miles from here	i a log house a  farm i a miles i building i have which is house that inform
1717	a a	a a   turnmanagement
1718	h	h   feedback
1719	wonderful	feedback
1720	yeah	yeah   feedback
1721	it s really neat	it s  inform
1722	and	and   turnmanagement
1723	uh uh	uh uh   turnmanagement
1724	course i ve been working on it for five years	course i years i working  inform
1725	but you know	but  you know  turnmanagement
1726	h	h   turnmanagement
1727	but how wonderful	but   feedback
1728	are you close to getting it done 	you are it done  question
1729	yeah	yeah   answer
1730	yeah	yeah   answer
1731	it s getting real close to	it getting  inform
1732	 h	h   feedback
1733	you know	you know  turnmanagement
1734	of course there s still a lot of work to be done  	course a lot work     inform
1735	and then when you get it completely the shell finished you still have a lot of stuff to do inside	and shell a lot stuff you get shell finished you have it lot inform
1736	you know	you know  turnmanagement
1737	uh	uh   turnmanagement
1738	but uh	but uh   turnmanagement
1739	are you going to move your whole family over there then 	family  you going family question
1740	o	o   answer
1741	actually i m not even sure	i i m  inform
1742	uh	uh   turnmanagement
1743	i may	i i may  answer
1744	i ll probably always have a place here in ichardson or dallas	i a place or i have place inform
1745	uh huh	uh huh   feedback
1746	kind of your getaway place	getaway place   question
1747	yeah	yeah   commissive
1748	escape	inform
1749	but it s beautiful	but it s  contradict
1750	it s you know it s	it s you know it s  turnmanagement
1751	it s eastern hardwood forest  	forest   it s  inform
1752	uh	uh   turnmanagement
1753	there are a lot of pine trees 	a lot trees    inform
1754	but it s mostly oaks	but oaks it s  contradict
1755	and	and   turnmanagement
1756	h	h   turnmanagement
1757	how beautiful	feedback
1758	and it s pretty flat there 	and  it s  question
1759	well 	well    turnmanagement
1760	it s kind of  hilly	it s  negativefeedback
1761	but	but   turnmanagement
1762	you know 	you know  turnmanagement
1763	it s low hills	hills it s  inform
1764	it s not	it s  correction
1765	uh	uh   turnmanagement
1766	see	turnmanagement
1767	i ve only been to texas once	i i been  inform
1768	 i have two sisters in texas now one in austin one in dallas	i sisters  i have sisters inform
1769	um 	um    turnmanagement
1770	and the one in dallas is the one that got me to doing this	and one one one is that got me this inform
1771	 yeah	yeah   feedback
1772	and	and   turnmanagement
1773	uh	uh   turnmanagement
1774	i thought austin was beautiful	i i thought austin was  inform
1775	you	turnmanagement
1776	 i liked the hills and the trees	i hills and trees i liked hills inform
1777	 yeah	yeah   feedback
1778	 in aus	correction
1779	 yeah 	yeah    feedback
1780	it s really different because  that s the chalk hills down there 	chalk hills  it s that s  inform
1781	that s kind of the that s the	that s that s  correction
1782	you know	you know  turnmanagement
1783	h	h   turnmanagement
1784	and  you ve always lived in texas have you 	and   you lived you question
1785	lime limestone	limestone   correction
1786	the  limestone hills	limestone hills   correction
1787	yeah	yeah   commissive
1788	except for time in service	time service   inform
1789	uh huh	uh huh   feedback
1790	born and raised texan huh	and huh  texan question
1791	yeah	yeah   commissive
1792	well 	well    turnmanagement
1793	i had never been there	i i been  inform
1794	that s pretty neat	that s  inform
1795	my sisters both seem to like it pretty well	sisters sisters seem it inform
1796	my brother in law works for the university in dallas	brother  law works    inform
1797	um	um   turnmanagement
1798	wh	question
1799	he s admissions director	admissions director   inform
1800	at at	turnmanagement
1801	at which one 	question
1802	uh	uh   turnmanagement
1803	university of texas in dallas	answer
1804	h okay	h okay   feedback
1805	yeah	yeah   feedback
1806	it s just north of me here	it s  inform
1807	yeah	yeah   feedback
1808	well	well   turnmanagement
1809	that s 	that s  correction
1810	he s got a job  there	a job   job inform
1811	and this is his first year	and year this is  inform
1812	so it s been a real interesting thing for them	so a thing   inform
1813	that s great 	that s  feedback
1814	but they seem to like it okay 	but okay  they seem it contradict
1815	i think they re too far away from me 	i  i think they re  inform
1816	but maybe some day they can get closer	but day they get  contradict
1817	well 	well    turnmanagement
1818	yeah	yeah   feedback
1819	we ll see	we see  interactionstructuring
1820	 retty good trip	trip   commissive
1821	so	interactionstructuring
1822	what do you what kind of 	what what kind  what do you do  correction
1823	what kind of  hobbies are you in 	kind  hobbies  you are  question
1824	well 	well    turnmanagement
1825	i m mother of four	i mother i m  answer
1826	so basically i m just real busy with my kids right now in sports	i kids sports i m  answer
1827	 laughter 	laughter    feedback
1828	and we have a little halloween talent show tonight	and a talent show tonight we have show inform
1829	and  inhaling 	and     turnmanagement
1830	i substitute at the schools part time	i schools part time i substitute  inform
1831	h 	h    turnmanagement
1832	that s great	that s  feedback
1833	well 	well    turnmanagement
1834	i am a travel agent at heart	i a travel agent heart i am  inform
1835	my hobby is just	hobby hobby is  correction
1836	i love traveling and being involved in that and finding out more	i and and i love  inform
1837	and and	and and   turnmanagement
1838	uh	uh   turnmanagement
1839	but it s real hard to work in the summers and  holidays and weekends when you have four children and a husband	but summers and  holidays and weekends children and a husband it s you have children contradict
1840	so i reluctantly gave that career up and am just substituting at the school	so i career and school i gave career inform
1841	o kidding 	o    feedback
1842	so i ve been librarian all this week which has been real interesting  	so i librarian week   i been which been  inform
1843	and i m enjoying it  	and i   i enjoying it inform
1844	i m around my kids 	i kids  i m  inform
1845	and 	and    turnmanagement
1846	that s pretty easy substituting is nt it 	substituting  that s it is  question
1847	h yeah 	h yeah    commissive
1848	yeah 	yeah    commissive
1849	 laughter	feedback
1850	 it s great 	it s  inform
1851	 it s great 	it s  inform
1852	and what else do i do 	and what i  i do what interactionstructuring
1853	i do lots of cross stitching when i have time	i lots cross stitching i time i do i have lots time answer
1854	oh 	oh    feedback
1855	and i enter things in our little state fair 	and i things state  i enter things inform
1856	and that s pretty fun 	and  that s  inform
1857	that s great 	that s  feedback
1858	well but 	well but    turnmanagement
1859	actually my hobbies mostly  is my sports tennis 	hobbies  sports tennis  hobbies is  inform
1860	is mostly is	correction
1861	 i play tennis	i tennis i play tennis inform
1862	oh	turnmanagement
1863	i love tennis too	i tennis i love tennis inform
1864	oh 	oh    feedback
1865	do you 	you do  question
1866	and i ski	and i i ski  inform
1867	ski ski	ski ski   turnmanagement
1868	do you ski 	you ski  question
1869	yes 	yes    answer
1870	we snow ski	ski we snow  inform
1871	we snow ski at mount bachelor mostly in regon	ski    inform
1872	uh 	uh    turnmanagement
1873	that s great	that s  feedback
1874	have you ever been there 	you been  question
1875	o	o   answer
1876	uh 	uh    turnmanagement
1877	wonderful place 	place    inform
1878	i ve skied in colorado	i i skied  inform
1879	and	and   turnmanagement
1880	we usually go to ew mexico because it s a little cheaper	a we go it s  inform
1881	oh	feedback
1882	you know	you know  correction
1883	uh huh	uh huh   feedback
1884	where in colorado 	question
1885	i ve been to telluride which is on the west side	i side i been which is  answer
1886	yes 	yes    feedback
1887	yes	yes   feedback
1888	and	and   turnmanagement
1889	uh	uh   turnmanagement
1890	copper	copper   answer
1891	copper is kind of my favorite up there 	copper  copper is  inform
1892	eally	feedback
1893	breckenridge	answer
1894	uh huh	uh huh   feedback
1895	and keystone	and   answer
1896	i guess those are the only places i ve skied up there	i places i i guess those are i skied  inform
1897	i would love i can hardly wait to get	i i i love i wait  correction
1898	i can hardly wait to get up there	i i wait  inform
1899	me too	inform
1900	you guys are you guys	guys guys you are  correction
1901	are you guys getting snow 	guys snow  guys getting snow question
1902	we 	correction
1903	it is snowing right now	it snowing  answer
1904	we re to get one to three inches tonight	inches tonight we re inches inform
1905	  laughter h gee	laughter h gee   feedback
1906	i heard aspen got three feet	i feet i heard aspen got feet inform
1907	h yeah 	h yeah    feedback
1908	well	well   turnmanagement
1909	we re we are	we re we are  correction
1910	we are on the dry side of the mountains	side mountains we are  inform
1911	seattle is only about two and a half hours	and a half hours seattle is  inform
1912	so of course i m a real seahawks fan	so course i a fan i m  inform
1913	 yeah	yeah   feedback
1914	and 	and    turnmanagement
1915	um 	um    turnmanagement
1916	going over that pass is  just a real nightmare	pass  a nightmare   inform
1917	 i can imagine my lord	i lord i imagine  feedback
1918	and 	and    turnmanagement
1919	um so 	um    turnmanagement
1920	and we re on the colder side 	and side  we re  inform
1921	they re on the rainy side	side they re  inform
1922	we re on the snowy side	side we re  inform
1923	and 	and    turnmanagement
1924	um 	um    turnmanagement
1925	we we	turnmanagement
1926	we ski	we ski  inform
1927	my my	my    turnmanagement
1928	my children all ski	children children ski  inform
1929	h super	h    feedback
1930	we ve we have	we ve we have  correction
1931	and we have been to whistler in canada  which is just a marvelous place  	and  a place   we been which is  inform
1932	whistler and black home  spelled phonetically  is in canada	and   whistler spelled is  inform
1933	and then we ve gone to sun valley several times	and times we gone  inform
1934	that s just a great place 	a place  that s  inform
1935	but not in colorado	but   contradict
1936	a just a	a a   correction
1937	no colora not in colorado	correction
1938	since i was in college since i went to school 	i college i school  i was i went  correction
1939	what about utah 	what    question
1940	 have nt been there	answer
1941	i keep hearing these marvelous things about dear valley and city	i things and i keep things inform
1942	yeah	yeah   feedback
1943	have nt either	inform
1944	and 	and    turnmanagement
1945	um 	um    turnmanagement
1946	um	um   turnmanagement
1947	always want to go to canada to banff or somewhere like that	or   inform
1948	oh yes	oh yes   feedback
1949	and your kids all ski 	and kids  kids ski  question
1950	uh 	uh    turnmanagement
1951	not all of them	answer
1952	uh huh	uh huh   feedback
1953	my kids are all grown	kids   inform
1954	but my youngest son is a skier	but son a skier son is  contradict
1955	eally	feedback
1956	that s great	that s  feedback
1957	well 	well    turnmanagement
1958	my boys are at the point where they scare their mommy to death	boys point mommy death boys are they scare mommy inform
1959	uh huh	uh huh   feedback
1960	when they re skiing they re fearless	they skiing they re  inform
1961	 good morning	morning   socialobligation
1962	 did you take your morning pills	morning pills you take pills question
1963	 good morning robo	morning robo   socialobligation
1964	 i am looking for my glasses	i glasses i looking  inform
1965	 can you find them anywhere	you find them question
1966	 i can help you find them	i i help you find them answer
1967	 do you remember where you last saw them 	you remember you saw them question
1968	 i kept them on my bedside table with my book very carefully	i bedside table book  i kept them answer
1969	kay	kay   commissive
1970	then	turnmanagement
1971	let me go and have a look	and a look me go look commissive
1972	 that will be really kind of you	that be  socialobligation
1973	 i did not find your glasses on the table	i glasses table i find glasses inform
1974	 do you remember where you went after waking up	you remember you went  question
1975	 to the bathroom	bathroom   answer
1976	 i will go and check the bathroom	i and bathroom i go bathroom commissive
1977	 i did not find your glasses there also 	i glasses  i find glasses inform
1978	hh god 	hh god    feedback
1979	i ca nt see anything	i anything i see anything inform
1980	do not worry	directive
