utterance	Sender	Addressee	communicativefunction
uh-huh 	p1	p2	confirm 
so you've got so you're going	p1	p2	selfCorrection
so you're going from above the apache camp the carved wooden pole and over the top of the walled city 	p1	p2	instruct
and then when you reach the far si-your left-hand side of the walled city travel southwards 	p1	p2	instruct
the far si-your left-hand side 	p1	p2	selfCorrection
until you come to the level of some flat rocks 	p1	p2	instruct 
uh-huh 	p2	p1	autoPositive 
and go bel-- 	p1	p2	instruct
do you have a stone creek 	p1	p2	propositionalQuestion
uh-huh 	p2	p1	answer 
right 	p1	p2	interactionStructuring
so what i want you to do is go between the flat rocks and the stone creek 	p1	p2	instruct
but do you have anything between the walled city and the carved wooden pole 	p1	p2	propositionalQuestion
ghost town 	p2	p1	answer 
a ghost town 	p1	p2	autoPositive 
so you're going to 	p1	p2	instruct
thats not on my map 	p1	p2	inform 
you've got to avoid that i think 	p1	p2	instruct 
okay 	p2	p1	autoPositive 
so go south down past the walled city underneath your ghost town 	p1	p2	instruct
and then slightly up 	p1	p2	instruct
sort of northeast direction between the flat rocks and the stone creek 	p1	p2	instruct 
between well it'd be better if i between the walled city and the ghost town not to go underneath it 	p2	p1	suggest
above it 	p2	p1	suggest 
or have you got something else there 	p2	p1	propositionalQuestion
ive not got anything between the carved wooden pole and the walled city 	p1	p2	answer 
but the map shows a c-shaped curve 	p1	p2	contradict
a curve a c-shaped curve 	p1	p2	selfCorrection
right 	p2	p1	agreement 
score that out 	p2	p1	agreement 
right 	p1	p2	autoPositive 
right 	p2	p1	interactionStructuring
and then slightly up underneath the flat rocks and above the stone creek 	p1	p2	instruct
right 	p2	p1	autoPositive 
okay 	p1	p2	interactionStructuring
then go slightly to your right beyond the flat rocks 	p1	p2	 instruct 
until you are above the level of the buffalo 	p1	p2	instruct 
so I'll be avoiding the saloon bar 	p2	p1	checkQuestion
i don't have a saloon bar 	p1	p2	inform 
I've got here 	p2	p1	inform 
right 	p1	p2	interactionStructuring
okay 	p1	p2	interactionStructuring
so avoid the saloon bar 	p1	p2	instruct
right 	p2	p1	autoPositive 
and 	p1	p2	turnKeep
and ehm			stalling
then right then  	p1	p2	 interactionStructuring
ehm 	p1	p2	turnKeep stalling
just straight down to the right of the buffalo 	p1	p2	instruct
to the right 	p2	p1	autoPositive 
so that you're on the right of the buffalo 	p1	p2	instruct 
you're you're 	p1	p2	stalling
right 	p2	p1	autoPositive 
okay 	p1	p2	interactionStructuring
and go underneath the buffalo 	p1	p2	instruct
now do you have a cattle ranch 	p1	p2	propositionalQuestion
no 	p2	p1	answer 
ehm 	p1	p2	turnTake stalling
do you have a fort 	p1	p2	propositionalQuestion
mmhmm 	p2	p1	answer 
so you're goin- go from the buffalo to the fort 	p1	p2	instruct
going- go	p1	p2	selfCorrection 
but you've got to avoid the cattle ranch on the way 	p1	p2	instruct 
and you'll have to go up and over the top of the cattle ranch 	p1	p2	instruct 
right 	p2	p1	autoPositive 
which on my map is halfway between the buffalo and the fort 	p1	p2	inform 
okay 	p1	p2	feedbackElicitation 
right 	p2	p1	autoPositive  
that on the level between the fort 	p2	p1	checkQuestion
ehm 	p1	p2	turnTake stalling
it's almost on level with the fort 	p1	p2	confirm 
but it's slightly higher than the fort 	p1	p2	contradict
so 	p2	p1	question
so you need to go up on a sort of hill 	p1	p2	instruct 
be go up 	p1	p2	selfCorrection
mmhmm 	p2	p1	autoPositive 
over the cattle ranch underneath buffalo or over the cattle ranch 	p1	p2	instruct 
right 	p2	p1	autoPositive  
then underneath the fort 	p1	p2	instruct
under the fort 	p2	p1	checkQuestion
underneath the fort uh-huh 	p1	p2	confirm 
and come out at the left-hand side of the fort 	p1	p2	instruct
and finishing not beside but on the same level as the carved wooden pole 	p1	p2	contradict
ehm 	p1	p2	turnKeep stalling
the base of the carved wooden pole 	p1	p2	instruct 
woode-- wooden 	p1	p2	selfCorrection
right 	p2	p1	autoPositive 
okay  	p1	p2	inform
that's you finished 	p1	p2	inform
okay 	p2	p1	autoPositive  interactionStructuring
good afternoon 	p1	p2	initGreeting
hello 	p2	p1	returnGreeting
uh 	p1	p2	stalling turnTake
whats your name 	p1	p2	setQuestion
my name is gregor linn 	p2	p1	setAnswer 
nice to meet you 	p1	p2	autoPositive 
nice to meet you 	p2	p1	returnGreeting
uh 	p1	p2	stalling turnTake
how are you doing today 	p1	p2	setQuestion
mh 	p2	p1	turnAccept
fine 	p2	p1	setAnswer
im doing well too 	p1	p2	inform
uh 	p1	p2	stalling turnKeep
lets play 	p1	p2	suggest
so first ill tell you the rules 	p1	p2	interactionStructuring
i am a very famous person 	p1	p2	inform
okay 	p2	p1	autoPositive 
uh 	p1	p2	stalling turnKeep
you need to guess my name 	p1	p2	instruct
okay 	p2	p1	autoPositive 
you can ask several questions except for one about my name 	p1	p2	instruct
okay 	p2	p1	autoPositive 
you do not have to ask yes or no questions 	p1	p2	instruct
you can also ask open-ended questions 	p1	p2	instruct
okay i understand 	p2	p1	autoPositive 
you have ten tries 	p1	p2	inform
and if after ten questions or earlier you guess my name correctly 	p1	p2	inform
you have won the game 	p1	p2	inform
if not youve lost the game 	p1	p2	inform
okay 	p2	p1	autoPositive 
and 	p2	p1	turnGrab
you should 	p1	p2	instruct
mhm 	p1	p2	turnRelease
what is it what you answer 	p2	p1	setQuestion
uh is 	p2	p1	stalling turnKeep
is 	p2	p1	selfCorrection
uhm 	p1	p2	stalling turnAccept
could you repeat the questions 	p1	p2	autoNegative
could you clarify the question 	p1	p2	autoNegative
uhm 	p2	p1	stalling turnTake
are you just saying yes or no or 	p2	p1	choiceQuestion
uh 	p2	p1	stalling turnKeep
no 	p1	p2	propositionalAnswer
i will if you ask me yes or no question i will say yes or no 	p1	p2	inform
i will 	p1	p2	selfCorrection
okay 	p2	p1	autoPositive 
uhm 	p1	p2	stalling turnKeep
if you ask me a more open-ended question i will try to answer the question 	p1	p2	inform
uh 	p1	p2	stalling turnKeep
i wont always have an answer to your question though 	p1	p2	inform
okay 	p2	p1	autoPositive 
uhm 	p1	p2	stalling turnKeep
alright 	p1	p2	interactionStructuring
do you understand the rules 	p1	p2	propositionalQuestion
yeah 	p2	p1	confirm
would you like me to repeat anything 	p1	p2	offer
would you 	p1	p2	selfCorrection
no 	p2	p1	declineOffer
i think i understood everything 	p2	p1	inform
mh 	p2	p1	stalling turnKeep
alright 	p1	p2	autoPositive 
alright and one more important thing 	p1	p2	interactionStructuring
and one more important thing 	p1	p2	inform
i will only be female famous people 	p1	p2	inform
uh 	p1	p2	turnKeep stalling
ah okay 	p2	p1	autoPositive
mhm 	p1	p2	alloPositive 
alright 	p1	p2	autoPositive
alright uh 	p1	p2	turnKeep
uh 	p1	p2	stalling
so lets start 	p1	p2	suggest
what is your first question 	p1	p2	setQuestion
are you still alive 	p2	p1	propositionalQuestion
no i am not 	p1	p2	propositionalAnswer
mhm 	p2	p1	turnTake
uhm 	p2	p1	stalling turnKeep
uh 	p1	p2	stalling turnKeep
are you from germany 	p2	p1	propositionalQuestion
no i am not from germany 	p1	p2	propositionalAnswer
uhm 	p2	p1	stalling turnTake
are you from america 	p2	p1	propositionalQuestion
no i am not from america 	p1	p2	propositionalAnswer
uh 	p2	p1	stalling turnTake
what were you doing when you were alive 	p2	p1	setQuestion
ehm 	p1	p2	stalling turnTake
let me think for a minute 	p1	p2	pausing
uhm 	p1	p2	stalling turnKeep
i was 	p1	p2	setAnswer
i was a princess 	p1	p2	setAnswer
i was 	p1	p2	selfCorrection
when i was alive 	p1	p2	setAnswer
and where are you from 	p2	p1	setQuestion
i am from england 	p1	p2	setAnswer
okay 	p2	p1	 autoPositive
uhm 	p2	p1	turnKeep stalling
uh 	p2	p1	turnKeep stalling
where did you die 	p2	p1	setQuestion
just a second 	p1	p2	turnKeep pausing
uhm 	p1	p2	turnKeep stalling
i died in paris 	p1	p2	setAnswer
mhm 	p2	p1	 autoPositive
uhm 	p2	p1	stalling turnKeep
uhm 	p2	p1	stalling turnKeep
you are princess diana 	p2	p1	inform
uh 	p2	p1	stalling turnKeep
yes 	p1	p2	confirm
that is the correct answer 	p1	p2	inform
good job 	p1	p2	alloPositive
okay 	p2	p1	autoPositive
alright 	p1	p2	turnTake contactManagement contactIndication
alright hello again 	p1	p2	opening
hello again 	p1	p2	initGreeting
hello 	p2	p1	opening  returnGreeting  contactManagement contactIndication
are you ready to continue 	p1	p2	 propositionalQuestion
yes i am 	p2	p1	 propositionalAnswer 
great 	p1	p2	autoPositive  alloPositive 
uh 	p1	p2	turnKeep stalling
do you remember all of the rules or do you have any questions 	p1	p2	 choiceQuestion
uh 	p2	p1	turnAccept stalling
yes and no to the other question 	p2	p1	 setAnswer 
okay 	p1	p2	autoPositive  alloPositive 
so you know all of the rules 	p1	p2	checkQuestion 
yes i do 	p2	p1	confirm 
great 	p1	p2	autoPositive  alloPositive 
alright 	p1	p2	turnKeep
lets go ahead and get started then 	p1	p2	 suggest
what is your first question 	p1	p2	setQuestion  request
uh 	p2	p1	turnAccept stalling
what are you famous for 	p2	p1	setQuestion  acceptRequest 
uhm 	p1	p2	turnAccept stalling
i am famous for being one of the wealthiest and most powerful women in western europe during the middle ages 	p1	p2	setAnswer 
$LAUGH 	p2	p1	autoPositive 
are you part of the royalty or were you part of the royalty rather 	p2	p1	choiceQuestion
yes i was 	p1	p2	answer 
which country $UNINTELLIGIBLE 	p2	p1	setQuestion
yeah 	p2	p1	pausing
uh 	p1	p2	turnAccept stalling
france 	p1	p2	setAnswer 
france 	p2	p1	autoPositive 
uh 	p2	p1	turnKeep stalling
okay 	p2	p1	autoPositive  turnKeep
do I know any French which 	p2	p1	autoPositive 
during which years exactly did you reign 	p2	p1	setQuestion
uhm 	p1	p2	turnAccept stalling
could you clarify 	p1	p2	autoNegative 
okay 	p2	p1	acceptRequest 
uh 	p2	p1	turnKeep stalling
while you were at the peak of your power which position did you occupy in the country 	p2	p1	setQuestion
uh 	p2	p1	turnKeep stalling
which position 	p2	p1	selfCorrection 
uhm 	p1	p2	turnAccept stalling
i was the queen consort of france and later the queen consort of england 	p1	p2	setAnswer 
okay 	p2	p1	autoPositive  turnTake
and during which year were you the queen consort of england 	p2	p1	setQuestion
uhm 	p2	p1	turnKeep stalling
years 	p2	p1	selfCorrection 
from eleven fifty four to eleven eighty nine 	p1	p2	setAnswer 
okay 	p2	p1	autoPositive  turnTake
uh 	p2	p1	turnKeep stalling
wait 	p2	p1	request
now how do i ask that 	p2	p1	autoPositive
how do 	p2	p1	selfCorrection 
now that does not work 	p2	p1	autoNegative 
okay 	p2	p1	turnKeep stalling
how did you die 	p2	p1	setQuestion
just a minute 	p1	p2	turnAccept pausing
i dont have an answer to that question 	p1	p2	inform 
okay 	p2	p1	autoPositive 
who was your husband during your time as queen regent of england 	p2	p1	setQuestion
uh 	p1	p2	turnAccept stalling
just a minute 	p1	p2	turnKeep pausing
i was 	p1	p2	setAnswer 
uh just a second 	p1	p2	turnKeep
uh 	p1	p2	stalling
just a second 	p1	p2	pausing
yes 	p1	p2	autoPositive 
SIL i was married to henry duke of normandy who became king henry the second of england 	p1	p2	setAnswer 
SIL i was 	p1	p2	selfCorrection 
uhm 	p1	p2	turnKeep stalling
king 	p1	p2	selfCorrection 
ok 	p2	p1	autoPositive  turnTake
uhm 	p2	p1	turnKeep stalling
what are you most known for in history of humankind 	p2	p1	setQuestion
if its not too general for a question 	p2	p1	inform   inform 
that is a very good question 	p1	p2	alloPositive 
im not sure if i can answer it 	p1	p2	inform  
give me just a second 	p1	p2	turnKeep request
not sure that i can fully answer that question 	p1	p2	inform  
okay 	p2	p1	autoPositive  turnTake
can you name one thing that many people know that you did 	p2	p1	setQuestion
mh 	p1	p2	turnAccept stalling
i was married to two kings and i participated in the second crusade while queen of france 	p1	p2	setAnswer 
okay 	p2	p1	autoPositive  turnTake
uh 	p2	p1	turnKeep stalling
uh 	p2	p1	turnKeep stalling
did you have any religious epiphanies 	p2	p1	propositionalQuestion
uhm 	p1	p2	turnAccept stalling
documented 	p2	p1	propositionalQuestion  selfCorrection 
i dont have an answer to that question 	p1	p2	inform 
okay 	p2	p1	autoPositive  turnTake
uhm 	p2	p1	turnKeep stalling
are you more famous for your time in england or in france 	p2	p1	choiceQuestion
unfortunately im not sure how to answer that question 	p1	p2	answer   inform  
are you considered a hero by some 	p2	p1	propositionalQuestion
that is possible 	p1	p2	propositionalAnswer  
but i dont have a answer to that question 	p1	p2	contradict
okay 	p2	p1	autoPositive  turnTake
uhm 	p2	p1	turnKeep stalling
sorry 	p1	p2	apology 
yeah 	p2	p1	alloPositive  acceptApology 
youre not giving me a lot to work with 	p2	p1	alloNegative 
I know 	p1	p2	agreement 
okay 	p2	p1	autoPositive  turnTake
uhm 	p2	p1	turnKeep stalling
wait 	p2	p1	request
no 	p2	p1	correction 
questions regarding the name are not allowed 	p2	p1	 checkQuestion
yeah 	p2	p1	autoPositive 
uhm 	p2	p1	turnKeep stalling
no 	p1	p2	 confirm 
uhm 	p2	p1	turnKeep stalling
uhm 	p2	p1	turnKeep stalling
uhm 	p2	p1	turnKeep stalling
nah i dont think i know her 	p2	p1	inform 
okay	p1	p2	autoPositive 
would you like me to tell you the answer 	p1	p2	offer
yeah sure 	p2	p1	 acceptOffer 
go ahead 	p2	p1	 request
alright 	p1	p2	 acceptRequest  turnAccept
my name is eleanor of aquitaine 	p1	p2	inform
know 	p2	p1	autoPositive 
alright 	p1	p2	alloPositive  turnTake interactionStructuring
well good try though 	p1	p2	alloPositive inform 
and maybe next time 	p1	p2	closing inform 
hello again 	p1	p2	opening initGreeting contactManagement contactIndication
hello 	p2	p1	opening  returnGreeting  contactManagement contactIndication 
lets start on the next round 	p1	p2	 suggest
yeah 	p2	p1	 acceptSuggest 
so do you remember all of the rules 	p1	p2	 propositionalQuestion
yes i think so 	p2	p1	 propositionalAnswer  
great 	p1	p2	alloPositive 
alright so 	p1	p2	interactionStructuring
lets get started 	p1	p2	 suggest
what is your first question 	p1	p2	setQuestion  request
mh 	p2	p1	autoPositive  turnAccept
what are your initials 	p2	p1	setQuestion  acceptRequest 
i can not answer that question 	p1	p2	inform 
okay 	p2	p1	autoPositive 
are you a real person 	p2	p1	propositionalQuestion
yes i am a real person 	p1	p2	propositionalAnswer 
uhm 	p2	p1	turnTake stalling
are you dead 	p2	p1	propositionalQuestion
no i am still alive 	p1	p2	propositionalAnswer 
mh 	p2	p1	autoPositive  turnTake stalling
where are you from 	p2	p1	setQuestion
i am from barbados 	p1	p2	setAnswer 
mh 	p2	p1	autoPositive  turnTake stalling
are you a musician 	p2	p1	propositionalQuestion
yes i am a musician 	p1	p2	propositionalAnswer 
mh 	p2	p1	autoPositive  turnTake stalling
are you rihanna 	p2	p1	question
yes that is correct i am rihanna 	p1	p2	confirm 
very good job 	p1	p2	alloPositive  closing congratulation
hello again 	p1	p2	opening initGreeting contactManagement contactIndication
hello 	p2	p1	opening  returnGreeting  contactManagement contactIndication
ready to start with the next round 	p1	p2	checkQuestion
mhm 	p2	p1	confirm 
alright 	p1	p2	autoPositive  alloPositive 
do you still remember all of the rules 	p1	p2	 propositionalQuestion
yes 	p2	p1	 propositionalAnswer 
great 	p1	p2	autoPositive  alloPositive 
alright 	p1	p2	interactionStructuring
uhm 	p1	p2	turnKeep stalling
lets get started then 	p1	p2	suggest
what is your first question 	p1	p2	setQuestion  request
uh 	p2	p1	turnAccept stalling
uhm 	p2	p1	turnKeep stalling
uhm 	p2	p1	turnKeep stalling
what is your mother tongue 	p2	p1	setQuestion  addressRequest 
uh 	p2	p1	turnKeep stalling
uh 	p2	p1	turnKeep stalling
my mother tongue is english 	p1	p2	setAnswer 
uhm 	p2	p1	turnTake stalling
where are you from 	p2	p1	setQuestion
i am from the united states 	p1	p2	setAnswer 
and youre still alive 	p2	p1	propositionalQuestion
and 	p2	p1	turnTake stalling
yes i am still alive 	p1	p2	propositionalAnswer 
and how old are you 	p2	p1	setQuestion
and 	p2	p1	turnTake stalling
i am thirty three 	p1	p2	setAnswer 
thirty 	p1	p2	selfCorrection 
thirty three years old 	p1	p2	setAnswer 
yeah 	p2	p1	autoPositive 
uhm 	p2	p1	turnKeep stalling
and what are you doing 	p2	p1	setQuestion
and 	p2	p1	turnTake stalling
i am a professional tennis player 	p1	p2	setAnswer 
okay 	p2	p1	autoPositive  turnTake
does your first name start with an s 	p2	p1	propositionalQuestion
with an 	p2	p1	selfCorrection 
im not sure if i can answer that question 	p1	p2	inform  
no i cant answer that question 	p1	p2	answer  inform  
okay 	p2	p1	autoPositive 
uhm 	p2	p1	turnKeep stalling
mmh 	p2	p1	turnKeep stalling
uh 	p2	p1	turnKeep stalling
are you successful in tennis 	p2	p1	propositionalQuestion
uh 	p2	p1	turnKeep stalling
yes I am very successful 	p1	p2	propositionalAnswer 
are you serena williams 	p2	p1	question
no 	p1	p2	disconfirm 
very close 	p1	p2	inform alloPositive 
but that is not the correct answer 	p1	p2	contradict
im venus williams 	p1	p2	inform
ah okay 	p2	p1	autoPositive 
very close though 	p1	p2	alloPositive 
very good try 	p1	p2	congratulation
okay 	p2	p1	autoPositive 
thank you 	p2	p1	thanking 
alright 	p1	p2	autoPositive  closing
Jimmy	A	B	turnAssign
so how do you get most of your news?	A	B	setQuestion
Well	B	A	turnTake stalling
I kind of I	B	A	selfCorrection
uh	B	A	stalling
I watch the national news every day, for one,	B	A	answer 
uh	B	A	stalling
I also read one or two papers a day 	B	A	answer 
and	B	A	turnKeep
I'm a news junkie	B	A	inform
I'm a, I'm pretty much a	B	A	selfCorrection
and	B	A	turnKeep
I tune in to CNN a lot. 	B	A	answer 
Oh,  wow  	A	B	autoPositive 
So	A	B	turnKeep
when you say the morning news, or evening news or national news is when? /	A	B	setQuestion
Uh	B	A	turnTake stalling
every evening at six thirty, I believe, I watch the national news	B	A	answer 
Oh	A	B	turnTake stalling
okay	A	B	autoPositive 
Well	A	B	stalling turnKeep
I would probably be a junkie or watch <laughter> CNN a lot	A	B	inform
s-,  watch	A	B	selfCorrection
but	A	B	contradict
I don't subscribe to cable	A	B	inform 
I don't, uh, I don't, uh	A	B	stalling
Uh-huh	B	A	autoPositive 
be-, because	A	B	stalling
because of the poor service and also because I give to the United Way	A	B	inform 
uh	A	B	stalling
well	A	B	turnKeep stalling
I, uh, I	A	B	stalling
and so	A	B	turnKeep
I figured that amount of money I just donate to that.	A	B	inform 
Uh-huh	B	A	autoPositive 
as opposed to paying for cable	B	A	checkQuestion 
Yeah	A	B	confirm 
I take away a addiction <laughter>	A	B	inform
uh	A	B	stalling
 <Laughter>	B	A	autoPositive 
 Oh, something	A	B	inform 
Yeah	B	A	agreement 
Well	A	B	turnTake
I	A	B	retraction
Uh	B	A	stalling
I,  I 	B	A	retraction
overall, the quality of the news you get of most sources I would say is pretty low. 	B	A	inform
o-, off 	B	A	stalling
uh	B	A	stalling
It's	B	A	retraction
usually you get pretty incomplete coverage 	B	A	inform 
and	B	A	turnKeep
that's one of the reasons why I try and get as many sources as possible, 	B	A	inform 
where I,  why I 	B	A	selfCorrection
because if you hear the same story from three different sources, then you get a much clearer picture of what is going on. You would hope,	B	A	inform 
of, of	B	A	stalling
but	B	a	contradict
still, you know, hard to say that what you've heard is what really is.	B	A	inform
Oh	A	B	autoPositive stalling
	B	A	
What	A	B	turnTake
What, what, uh	A	B	stalling
What newspapers do you read	A	B	setQuestion
Well	B	A	turnTake
I read the local newspaper	B	A	answer 
uh	B	A	stalling
and	B	A	turnKeep
I also try and read one of the major dailies like the CHICAGO TRIBUNE, or the NEW YORK TIMES or something like that.	B	A	answer 
uh	B	A	stalling
Uh-huh	A	B	autoPositive 
For a while there I subscribed to NEW YORK TIMES, a couple of newspapers	A	B	inform
I, I, I, uh	A	B	stalling
a-, actually	A	B	stalling
uh, you know	A	B	stalling
well	A	B	turnKeep
because my fiance - she was unemployed for a while 	A	B	inform 
so she really needed to look at the help wanted ads	A	B	inform 
you know	A	B	stalling
the,  <inhaling> the	A	B	stalling
want-, help wanted	A	B	selfCorrection
Uh-huh	B	A	autoPositive 
and so often the newspapers are trying to compete with a lot of other sources of news	A	B	 inform
they,  they tr-, the newspapers are	A	B	selfCorrection
newspape-, uh, news	A	B	stalling selfCorrection
Right	B	A	autoPositive 
and	A	B	turnTake
I don't know,	A	B	inform
NEW YORK TIMES is okay	A	B	inform
but	A	B	turnKeep
uh	A	B	stalling
but when you read a lot of this stuff, the quality of the writing has definitely gone down in the last ten years or so	A	B	contradict
the, the	A	B	stalling
but	A	B	turnKeep
Uh-huh	B	A	autoPositive 
uh, I mean	A	B	stalling
they, they	A	B	stalling
they say it's  like the sixth grade reading level	A	B	inform 
but I swear it's at least second or third grade sometimes.	A	B	contradict
Right. /	B	A	autoPositive 
	A	B	
<Laughter>	B	A	autoPositive 
	A	B	
Pretty low	B	A	autoPositive 
 <Throat_clearing>	A	B	turnTake
but, I don't know, I think if you listen to like NPR or something like	A	B	contradict
uh	A	B	turnKeep stalling
Right	B	A	agreement 
I, I	B	A	stalling
I really like NPR a lot	B	A	inform
That's pretty good.  /	A	B	agreement 
uh	A	B	stalling
and	A	B	turnKeep
on, on, uh	A	B	stalling
I like listening to that when I get a chance, when I'm in the car a long enough time to listen to it, because I	A	B	inform
to, to	A	B	stalling
Right	B	A	agreement 
yeah	B	A	agreement 
I miss NPR a lot also	B	A	inform
I really like them because they give, instead of being, as your newspaper or your TV news where you get a five minute blurb or a ten paragraph blurb, they go really in depth on topics which i think is good	B	A	inform
uh	B	A	stalling
	B	A	
Uh	A	B	turnTake stalling
And	B	A	turnTake
they also	B	A	retraction
their editorial stand point seems to be a lot better than, say, your major network news and that kind of thing	B	A	inform
Well	A	B	turnTake
McNeil, Neil	A	B	selfCorrection
Neil and Lehrer, they're pretty good too	A	B	inform
I guess one of them is leaving.	A	B	inform
he's leaving, one of them is leaving	A	B	selfCorrection
	A	B	
Uh-huh	B	A	autoPositive 
uh	A	B	turnTake stalling
they're, they're	A	B	stalling
uh	A	B	turnKeep stalling
I guess a year ago you're probably watching CNN a lot, right?	A	B	checkQuestion
Right <laughter> 	B	A	confirm 
yeah	B	A	confirm 
Had that invasion or whatever it is	A	B	inform 
Sure was	B	A	agreement 
uh	B	A	turnTake stalling
I, I don't know	B	A	stalling
but I guess it's still a lot of hype	A	B	contradict
a lot of it's still a lot of	A	B	selfCorrection
Look at the Smith trial	A	B	suggest 
the, the	A	B	stalling
Uh-huh	B	A	autoPositive 
I mean, that was a joke	A	B	inform 
Yeah that was	B	A	agreement 
	B	A	
but	B	A	turnKeep
but then you also have things where they broadcast the Clarence Thomas hearings basically the whole length of them which I thought was really good.	B	A	contradict
where you, where they	B	A	selfCorrection
uh	B	A	stalling
 r-, really	B	A	stalling
Oh yeah, the NPR doing that, yeah, I know	A	B	agreement 
	A	B	
	A	B	
	A	B	
I had some visitor, he was just, I don't know, fixated on that, just listened to it constantly	A	B	inform 
uh	A	B	stalling
and	A	B	turnKeep
just in-, just	A	B	selfCorrection
Uh-uh	B	A	autoPositive 
	A	B	
uh	A	B	turnKeep stalling
and I guess that's good when it's live, if you'll really want that	A	B	inform
if you, if you'll	A	B	selfCorrection
but	A	B	turnKeep
but that's not really providing you news. 	A	B	contradict
Right	B	A	agreement 
it's it's 	A	B	stalling
it's more like a media event rather than reporting	A	B	inform
Well	B	A	stalling turnTake
but the news that you would get from any other source is being generated from that event, which is something that's good also about C Span which I tune into every once in a while	B	A	contradict
ne-, news, news 	B	A	stalling
I, I	B	A	stalling
Oh	A	B	stalling
really	A	B	autoPositive 
That's kind of boring to me, I think	A	B	inform 
Yeah, it is really kind of boring	B	A	agreement 
it, it	B	A	stalling
but	B	A	turnKeep
you know	B	A	stalling
but that's if you don't watch it there, then you're going to hear somebody else's canned report, somebody else's view about it	B	A	contradict
if, if	B	A	stalling
uh	B	A	stalling
and	B	A	turnKeep
that's what you're supposed to	B	A	retraction
you're supposed, you're supposed	B	A	stalling
if you watch the news, your opinion is going to be formed on what somebody else thought about it	B	A	inform
you're going, your opinion is going	B	A	selfCorrection
about, on 	B	A	selfCorrection
Yeah	A	B	agreement 
as opposed to actually watching it yourself and forming your own opinion, which I would  be much more in favor of forming my own opinion as opposed to following someone else's	B	A	inform 
pinion, opinion	B	A	selfCorrection
haven't, would	B	A	selfCorrection
Yeah	A	B	agreement 
I guess that's true	A	B	inform 
But	A	B	contradict
one of the ways that I get information is, every day when I log in on the computer I subscribe to this thing	A	B	inform
uh	A	B	stalling
this, this	A	B	stalling
it's free inside the company	A	B	inform
it's called INTELLECT	A	B	inform
and	A	B	turnKeep
and, and	A	B	stalling
uh	A	B	stalling
they basically, type out abstracts which are really literally, -	A	B	inform
I've, I've	A	B	stalling
I've actually read the actual articles	A	B	inform
they're pretty g	A	B	inform
Okay	A	B	opening
All right  	B	A	autoPositive 
Uh	B	A	stalling turnKeep
do you have any friends that have children	B	A	propositionalQuestion
I do have friends that have children	A	B	answer 
yes 	A	B	answer 
And what do they say about finding adequate child care? 	B	A	setQuestion
	A	B	
I think that may be the key word 	B	A	inform 
I think that's correct  	A	B	agreement 
They're, relatively nonexistent from what I hear from my friends	A	B	inform
uh	A	B	stalling
from uh from	A	B	stalling
It seems like even when they have consulted day care centers that are reputable, that are sort of like a chain, if I can use that word, still you have to deal with the people that, happen to be operating it locally 	A	B	inform 
uh	A	B	stalling
Right 	B	A	autoPositive 
uh	A	B	stalling
you know	A	B	stalling
and	A	B	turnKeep
uh	A	B	stalling
it's just a matter of trust, you know	A	B	inform
of, of	A	B	stalling
I think they feel that these people are under qualified basically and  underpaid, 	A	B	inform
um	A	B	stalling 
and	A	B	turnKeep
I think that sort of goes hand in hand 	A	B	inform 
it's, it's	A	B	stalling
so it's difficult for them	A	B	inform
Well	B	A	turnTake
we certainly found that to be true 	B	A	agreement 
Huh-uh 	A	B	autoPositive 
Uh	B	A	stalling
indeed we've, - 	B	A	retraction
our children are now eleven and nine 	B	A	inform
Huh-uh 	A	B	autoPositive 
And	B	A	turnKeep
we moved away from institutionalized child care --	B	A	inform
Huh-uh 	A	B	autoPositive 
if we can call those chain kind of things, like that Uh, by that name	B	A	 Inform 
Right 	A	B	autoPositive 
uh	B	A	stalling
like that, by that name	B	A	selfCorrection
Right 	A	B	autoPositive 
And found that more creative avenues were the right answer for us	B	A	inform 
uh	B	A	stalling
Huh-uh  	A	B	autoPositive 
Huh-uh 	A	B	autoPositive 
Uh	B	A	stalling
at one point in time we've had au pairs,	B	A	inform
Huh-uh 	A	B	autoPositive 
by trading services with them, 	B	A	inform 
Huh-uh   	A	B	autoPositive 
and	B	A	turnKeep
that worked for a while,  	B	A	inform 
but adequate ones were really tough to find	B	A	contradict
they were really, adequate ones were really	B	A	selfCorrection
I'm sure that's true 	A	B	Agreement 
It takes that mixture of a very mature college student, who wants to do something and yet is willing to give the time, and the interest to the children	B	A	inform 
Huh-uh   	A	B	autoPositive 
	B	A	
Right 	A	B	autoPositive 
	B	A	
Right  	A	B	autoPositive 
I do have a friend, she and her roommate became live-in care givers	A	B	inform 
uh uh	A	B	stalling
that, -	A	B	retraction
she and her roommate became live-in care givers  	A	B	inform
and	A	B	turnKeep
they loved it	A	B	inform 
They had stayed with this family from the time these children were small four or five years old, up until they were well into grade school	A	B	inform 
you know	A	B	stalling
And	A	B	turnKeep
uh	A	B	stalling
she was paid very well because the parents trusted them	A	B	inform 
they, the parents	A	B	selfCorrection
and	A	B	turnKeep
they had done such a good job 	A	B	inform
you know	A	B	stalling
So I can see where someone, in a position like that, in a live-in capacity, would definitely be the way to go if you're lucky enough to have the financial  to be able to do that 	A	B	inform
um	A	B	stalling
you know	A	B	stalling
you're, you're	A	B	stalling
Well	B	A	turnTake
that's true, 	B	A	Agreement 
 Yeah   	A	B	autoPositive 
and  that's something that we're struggling with now 	B	A	inform 
